0	1	2	3	4	5	6	7
10496	8368	10942	13927	10852	1849	1647	11488
408	8978	6349	2326	13732	3770	9344	7529
2744	2489	7295	5502	1126	904	12111	2421
1954	1544	9689	10912	12118	576	5309	7976
6298	14484	13062	9024	11939	8117	8052	3666
12466	6759	3326	1346	10712	5008	5145	6757
2641	13244	11914	5590	12659	8019	4364	4655
1744	10810	4150	13983	49	11492	8979	6468
11342	4609	7037	14227	1718	11187	13700	8401
3720	7653	5487	10713	23	705	780	3181
7752	10278	11018	3636	940	3260	4244	3115
4341	5661	13758	4520	7048	2997	11442	1806
8985	1771	3734	1180	12249	334	3116	14216
10324	6458	14090	9900	1422	13512	13303	9541
10139	13307	328	7603	11192	1520	11175	4777
12299	2965	13640	2775	2297	4968	2034	10577
6863	6411	3869	1186	4943	6468	2754	6379
13217	1418	5278	12460	14410	307	11913	6106
10519	13754	110	8794	13879	4388	5390	11060
10880	6222	10168	2752	10264	10138	6336	12837
9385	1192	9471	5717	7844	6579	6442	13670
10489	11245	1290	8358	7166	7996	13554	3071
6860	4066	235	7294	10080	6822	10448	8564
12102	2065	10956	7364	8708	7040	6894	8603
1253	6674	10642	7882	8528	12739	11517	11232
9165	9569	733	3434	1065	6337	12682	3243
1219	3188	7090	1432	9170	14472	5797	8679
1321	7892	12616	3936	13925	14258	4764	2728
4758	12900	9992	1026	7747	2839	3468	4396
2334	12116	8655	3357	6124	8925	11779	1143
8680	10907	4468	3351	4845	4839	12677	3186
5956	1096	457	4809	13252	10316	11273	7161
9135	715	887	4639	5944	4760	11770	12560
5526	7023	1076	10657	12230	14598	4512	12846
9956	936	2391	10726	3601	5739	9334	11791
12869	2955	793	11810	5655	1592	14445	1630
14362	2402	8199	10220	6955	26	12028	7743
12791	10390	9857	7104	5446	6127	248	8914
7103	9269	10586	6841	9331	4331	14576	14456
7674	10598	7951	9394	10900	4153	12729	11296
14202	11183	11319	10228	14313	10192	499	12426
5987	12342	11978	4394	4092	4270	7129	14293
6904	10476	4626	10720	14034	6875	10242	4301
5536	10133	2388	13845	10171	4778	9414	3835
1807	3854	11599	13342	5366	2095	509	1089
13073	8219	12118	14201	2153	5971	12055	5518
12428	1172	4968	10457	9987	2545	3581	14462
532	682	12096	10312	3966	1757	12826	13803
14319	8849	14272	11784	10066	13429	12257	3017
2701	4870	1118	280	3584	1842	11787	1578
3854	10915	1316	12291	12770	11547	1752	4463
5546	8565	12708	6695	5620	13452	11529	11999
7107	1411	11183	531	5421	6973	6765	13373
7396	4345	11891	2022	4492	2145	13480	3715
1744	9964	636	10272	3712	1533	10041	10889
7342	7484	5897	6238	13042	5188	10631	8337
5097	10118	1132	13412	4285	13451	340	4324
3203	4022	11291	6694	6785	5526	5046	12633
1883	7334	12080	2164	10386	12944	6835	1876
3809	4352	7742	6147	7058	1966	11506	2147
2321	10760	707	7615	5043	7902	12180	12044
11931	11475	12301	217	10500	6517	10588	741
12761	14690	12704	5992	10288	3854	1089	9537
2808	3899	1096	3738	7114	3558	10628	8951
4799	12618	10874	5043	14373	4072	1667	9139
10815	7985	7396	6600	2300	8812	9729	11068
6157	2092	5583	7172	1033	10130	13454	1863
12708	222	9910	14068	8215	4494	11390	6770
7119	10567	10911	4716	9886	11813	2779	363
10902	11606	12126	8917	11078	6361	11926	7703
3525	12286	1622	10605	4001	7749	10177	12130
5859	7733	6718	7257	12171	3558	5069	4801
1654	5947	13546	3769	63	548	1315	7739
13204	1367	3226	11508	3774	2730	7506	13940
9749	3311	62	13774	1538	7016	5224	11597
2365	5992	7414	11898	7541	5284	12677	8896
344	2557	11068	401	10157	142	26	697
8124	4521	5373	440	14244	2755	2168	8314
6747	3001	4982	2684	13324	3464	14477	2833
3950	8892	4287	11452	11498	8087	6489	3335
13137	14255	9637	11204	1259	10943	12614	11635
10856	11645	2740	3992	13333	1934	13511	4482
2582	10214	10370	9492	9472	6750	13055	9206
6534	1424	8064	12954	6296	8169	5982	12120
13720	6039	14102	9160	12486	4828	14426	13179
2721	14662	1244	9643	4197	2545	14655	7082
10804	7041	14674	14214	10345	13921	9122	3620
11422	3727	1364	2871	10634	6221	14584	8171
14013	13603	568	6349	13338	14141	331	370
8397	5617	4547	13730	8080	4792	2091	1424
9787	1625	4389	10607	5979	9922	5030	13424
565	4914	10110	6007	7399	4326	6677	13763
2653	3970	7145	12224	2697	7682	1637	9728
4627	3024	12217	3340	655	5972	8019	13904
13626	7650	11266	8687	8947	3793	3038	1628
10083	6168	5801	2968	8036	1243	14628	12885
8261	4395	4971	1047	5185	12584	9734	13015
10897	8084	4230	5741	10674	4104	7606	10022
6002	11598	10393	8499	7620	4379	13656	11075
12803	11439	6992	13739	11856	3995	9038	2718
1425	7833	3229	11429	7398	6925	1306	6212
3436	10141	11473	7919	12579	130	13366	7530
13964	11835	2917	8546	13284	8078	6629	9098
7461	7733	13105	13388	8389	12468	5219	47
10474	275	9887	3568	8104	11436	4465	364
12014	5459	7991	11874	4860	9947	7067	4481
13163	3918	12120	4700	5241	8074	10600	11107
6577	7454	1085	5179	4328	4546	4469	12516
9231	5812	255	14439	12354	9194	6777	36
11359	11523	5173	10012	8372	6478	7834	10102
4428	9472	12400	664	7085	4894	73	12645
4986	6038	9176	6409	12175	10464	3817	6321
6337	12730	11210	2010	4434	10324	7317	3743
11141	10651	4586	4920	7062	1291	1058	6929
3674	8176	4641	6135	10538	3810	12575	9731
13851	9894	1778	9825	10575	6881	10071	7300
1537	9242	10130	7243	10212	6730	4697	42
6367	7067	11445	12181	3645	11838	516	4178
12598	11683	4753	3316	5151	2792	12468	8275
8918	2181	349	12789	11785	11602	2680	13427
12735	14313	12921	9811	4049	6721	13308	9259
5078	10332	1321	6051	2598	3207	13859	654
11007	10706	11398	11923	1469	14487	3995	7619
10006	3944	11630	513	4002	4769	12051	6232
3601	12047	12787	9004	9673	3696	4810	13567
13013	11022	2351	270	6509	13330	466	5858
8184	1279	3626	5245	9698	8475	3658	5517
9422	281	14696	6937	4362	5457	13469	11480
388	11962	6185	7982	6523	9803	1499	1942
13834	9104	5057	352	14164	13067	14025	9724
3531	5025	7521	8638	6839	6104	9203	8434
13034	725	2823	13379	5509	13507	4259	2651
4009	11838	10173	12561	11157	13642	9660	6369
10083	9519	8914	2520	11833	14326	12102	1255
13959	3689	2874	1832	7749	6206	1567	5079
10677	4247	4959	12156	4574	10622	10449	4077
3880	3667	13865	12289	11812	4956	415	197
11802	6043	8022	9827	13371	12902	6660	13168
1053	1349	13068	9241	7636	12656	14008	14525
5864	1910	1030	7396	11265	73	12227	14648
9107	1558	4257	1988	14439	11951	14610	13111
1672	3905	13036	10738	11168	10940	4486	1258
13375	3403	9054	11332	4862	8859	6534	1125
1425	12410	3399	10418	893	10986	7638	14528
2887	3392	1810	9536	7445	12974	9724	11738
679	7494	12726	12153	2541	12517	1987	10464
1889	5164	13981	7836	2035	5914	4623	12092
9308	5439	5662	7749	875	6304	7502	6860
1356	8889	1306	2053	8608	12448	9563	14442
6895	987	1109	9458	10441	5088	2611	5319
9953	9891	12064	9084	3687	3514	9374	1865
643	1364	3692	1680	9011	6133	7951	1110
5605	8395	803	5395	10997	8489	7868	10534
13223	6477	11775	93	8697	6306	259	8098
9411	473	4101	11329	13566	7635	11112	2599
1967	8221	10113	7306	2666	951	8155	9964
7468	8249	9978	7922	13422	11460	13689	13264
10201	14179	1174	13925	3426	10350	13328	7721
9608	384	7857	1390	703	3896	6013	1802
1125	11902	8887	1699	10507	8727	14021	911
11223	13942	12739	7037	2439	12426	996	7984
13890	14164	12580	7222	4796	9558	5731	14148
1791	11414	11579	1979	4389	1453	8358	10100
371	4048	4186	13753	12272	5079	10223	1
2592	1757	9289	5037	4503	13373	33	8407
9248	6802	7492	13441	5294	2289	5453	1298
1153	2108	13021	12369	7082	12497	13842	12955
14527	3690	6547	14301	6657	2139	4719	11557
8623	10482	2364	9393	11539	2918	12487	1267
9714	6307	11827	5939	549	2886	7475	5731
11580	13880	5822	9312	10299	12642	339	9556
4689	12978	3565	12101	6560	266	4429	12855
6753	3495	2013	1057	5637	7937	532	9530
14569	10007	9355	14005	13510	11492	8675	6148
567	8682	14160	5230	14609	12518	6438	7849
2636	2718	7817	7424	1035	4238	8724	14002
5898	5671	3962	13226	664	6821	1125	10744
4857	10913	4397	6529	9882	11106	7424	2039
5839	998	11056	1207	4181	3605	4470	8919
5396	8099	8858	8359	12843	12144	9211	10894
12889	12684	8751	12753	10492	6069	3920	7627
792	1114	4544	3294	985	5995	1319	2317
9242	6483	2867	6849	6877	6762	4093	9100
12997	9739	9558	4786	1250	7852	8101	5874
9701	10813	7570	9605	3917	12031	4175	8126
14565	3527	1924	12219	1830	12168	4463	5088
10594	10432	14354	1146	6147	277	338	14455
6219	1757	490	7630	12227	9706	7809	12499
7298	2424	7177	10694	3400	12711	11904	8702
2582	13639	6008	9341	2322	7342	517	14067
1959	5672	5649	4859	1356	10160	1553	5582
4755	3366	5862	8392	3981	5626	9003	2416
9275	2404	12637	14122	12733	11294	10084	7335
7569	8007	2203	10391	10268	4653	679	14359
11450	9017	12095	500	12112	4926	3970	13581
14248	8763	13756	6426	547	12696	3578	12667
2210	9077	11041	8118	5256	2826	3575	8196
12160	1392	1954	7332	8893	5092	14144	14358
830	11881	12174	8773	10108	4011	13511	9264
14643	7197	9183	8317	1473	2635	14280	971
4196	5321	2836	11797	13606	4276	9413	3746
1521	2710	13469	4769	9893	13151	477	9240
14631	4957	13473	1748	8589	12829	1268	12518
6445	13441	2471	467	1387	6885	7537	966
12400	7347	13917	2042	3216	985	2142	245
6366	12895	4575	11370	10147	5453	9184	14113
13296	3817	2260	726	11812	13362	7250	7718
5857	5730	362	1776	4992	1057	5345	14150
4793	3082	9848	8545	12854	1514	6656	9673
4895	12427	5147	6781	11261	12638	1097	10167
1105	5209	9999	4439	12421	11926	13879	2645
2771	12755	1504	8833	6959	1734	3348	2087
10258	9379	13202	3798	10063	5890	8158	767
10475	10132	2628	9486	6960	12148	10346	14590
9822	13149	1846	12531	6385	10537	10954	9495
4881	8058	10405	8828	9778	14150	7510	3726
3497	7980	6836	1997	9948	1907	3194	4532
14632	4509	4673	247	2073	2019	1893	490
3957	10548	2756	2366	5041	1737	7893	2828
11208	1036	4522	12375	13746	10983	9703	8813
4414	12405	9171	6062	11655	4998	1479	14227
5586	8712	4201	14404	3906	14538	8238	9288
13168	12800	3726	4100	12631	3162	7581	7447
8715	10672	11147	6921	4527	3408	3722	9071
5903	4400	13319	12175	11252	6834	4876	8393
1612	14311	7055	10116	4540	8949	7325	1228
5871	244	729	1420	8489	2205	12631	11102
3425	12368	13420	1583	1968	4875	4301	11091
9955	14	5723	3308	1014	3499	1684	6638
11178	1673	12842	12630	13058	3711	9051	11968
12589	13613	5060	12759	2244	8245	6712	3256
8409	8712	1521	9401	9302	8554	1601	3350
5564	619	5708	2338	3528	10291	2644	14398
8408	13041	13676	6854	921	643	10692	14124
9036	8438	465	3845	5128	2460	7895	13497
8882	13331	9988	4940	11895	6945	3288	11487
13536	10121	9507	91	4321	7920	10938	9319
7306	13599	1565	377	8099	2296	372	6054
7534	5646	4126	13998	8998	2186	13243	3602
3901	4387	10728	2116	10542	2604	5830	12670
11488	1363	632	4543	10557	6137	10319	3090
13076	6815	955	324	6235	8689	1262	585
11547	2266	11913	8461	5947	6714	13868	5763
2442	14053	7049	2541	5313	11651	10317	8634
484	9124	5911	6499	8843	14515	12671	12000
11488	9762	7951	2931	9760	9164	5504	7331
7377	11555	10202	12153	9307	1491	3402	9815
2904	12482	3009	3118	11781	9640	4981	1924
7885	2103	9938	7544	5533	2028	10535	8514
4253	9518	12966	416	7323	1034	10680	11966
8963	9680	4402	8337	11586	6442	9069	8434
8486	13250	201	11484	7746	3150	3587	1794
8053	6788	11214	6111	12960	11131	4798	1723
11610	987	10781	12337	10252	8943	9837	3125
13193	12170	12330	10472	5521	11452	5156	423
11132	6541	1996	13630	6382	3450	4697	2473
9998	628	9962	12299	14626	5902	7705	6463
2007	3323	1077	11981	1302	11460	8874	8241
2826	5594	7595	14132	3153	67	3834	5393
999	5515	7905	1685	1121	708	8420	8581
11048	407	9856	11340	6748	10687	3167	5132
1412	5952	3031	11036	11297	534	13499	620
14532	4349	12589	7609	1083	7494	11204	8067
2707	1530	14040	5285	12636	7749	9600	6670
11518	9107	8968	1382	1066	6976	10231	10955
8966	6202	3950	10210	3463	13297	10751	2932
183	203	8230	7817	5855	2651	12438	12857
8126	4128	3381	199	14157	4263	550	14289
6751	12209	2391	3746	11062	2895	4816	819
6745	14173	6365	8025	4995	3621	1754	2423
477	7115	4956	8820	2696	10422	12040	686
10046	10882	9890	13326	7801	4051	13901	10746
3238	11812	11197	2245	164	11511	7889	8397
13771	8770	4777	9567	7360	11469	5173	2776
2269	1593	8668	6219	13283	4272	7966	8298
2198	4481	5067	3192	6387	2819	12520	1803
11176	8988	3696	13895	9176	7250	2846	3357
1402	1167	13991	12338	1030	10501	8055	1619
10470	5870	11987	3768	12723	522	3089	6284
8112	10481	13900	5703	6185	1356	14584	13032
4720	2463	3357	13891	2204	311	12229	14509
11546	4287	4141	7114	7912	1672	6368	13664
3248	1049	7429	13317	261	11968	7309	583
12208	4714	11319	7576	9013	8203	242	7936
66	12021	5150	5952	2758	11538	12914	6361
5656	13441	4726	11595	4349	8155	12785	6960
12288	4443	511	9517	2670	6313	9442	13108
8287	10652	8253	7916	5571	12201	1436	2097
12488	6159	8722	8747	14543	14084	9234	5358
8715	11913	6230	406	11307	12056	10300	5295
12902	5995	11658	11369	12729	9719	6849	7960
1334	191	12366	6585	2613	13193	14042	2697
10473	9736	1078	13699	9664	1541	3321	6243
6808	1269	5632	10468	10412	10068	12285	4441
3408	8375	6544	837	8648	884	4825	10672
10726	3653	12698	14557	8043	5388	11038	8154
11030	14450	4453	227	14545	4017	8205	11763
11648	8049	12287	12220	9395	5114	12138	6531
194	8092	6679	3170	8719	13688	4324	14056
13233	6070	5625	8703	13456	9064	2209	369
8082	10991	6880	11053	12522	2544	2301	10031
8389	6217	9847	8484	499	3480	9547	13539
6168	4047	4103	8768	6694	2516	13959	12612
2286	12129	8431	1686	6957	11948	8625	1676
1290	1581	8837	7533	8224	568	10441	7979
8792	6909	14119	12297	10624	8856	4591	3535
9452	2620	1499	7788	12112	2506	3285	6002
9449	8233	973	6642	3098	4568	11682	5888
5882	9326	7578	9190	8818	1438	4621	2409
4976	12308	240	6033	6690	11793	7747	6337
6328	5616	10898	11740	9167	13919	13574	11800
214	4911	5872	13056	11020	3380	9924	867
9535	8297	3055	12902	268	14616	9221	7938
14650	8889	8441	5969	8875	14466	9266	10667
3322	9948	9203	8062	340	616	4954	11383
11553	1919	1699	8843	1739	8914	11116	4633
11185	12613	8760	8392	13379	3238	3447	5927
13442	7702	13623	1147	1603	2848	13989	13384
5164	4793	9065	6999	11577	3638	1206	8309
2644	7225	12090	10085	10571	7709	2111	7049
5770	7311	7321	3418	1202	14428	11395	7218
828	13823	570	847	7854	13059	4684	6138
12953	10176	7992	13216	13317	4179	6861	2885
10005	5237	4988	4000	12311	12056	8431	5141
4065	3617	3579	1365	11468	2192	501	9455
5342	10878	7983	3856	8840	3554	7236	9002
8734	12810	5907	11920	1514	3454	13404	14096
5135	13407	6433	4427	313	4586	4549	10614
14643	12947	4648	8279	917	3876	749	14224
5923	7301	9560	3100	8848	4566	3206	7042
966	4187	12511	12327	14696	4714	12474	10241
13234	3849	734	10785	230	6646	13561	10887
3917	8570	7943	7753	5893	2110	12153	3793
4063	6380	11333	10119	13780	3892	10140	12753
13821	10224	8976	13664	2179	4471	3069	7941
6043	8609	8233	1407	6554	8064	168	6196
5902	3362	6210	8265	13230	7677	404	12303
8443	8333	8546	3167	5120	8350	5214	13525
7922	555	4669	5393	1965	1735	14628	9595
2377	1106	13232	5421	4811	13660	8838	11363
8615	3961	11035	1634	10059	3516	7987	91
8846	1737	11099	360	11689	8877	11122	8951
8648	12500	4737	867	13042	13205	14079	276
14431	8494	13758	8875	12619	4195	1950	10834
3538	1089	14254	2398	2843	10869	2684	7119
6066	3909	13497	2158	8412	6129	8921	10503
11037	8645	9520	13064	5608	7533	4958	6332
6746	8726	12174	13994	5464	14468	12418	4117
10157	11055	11456	6549	7766	4340	4309	2348
13479	11341	5378	5756	8655	3522	14681	9570
9426	13587	11519	1193	3962	3709	3984	1475
1630	8888	13537	11570	4954	387	13675	6733
14473	7099	13774	50	12601	7495	1919	4812
11704	7624	2864	11764	11996	6334	11829	3279
6270	4691	4792	832	678	3952	12708	9896
13682	9796	4438	9737	9061	3661	11002	10350
5712	6649	5729	11247	222	8310	8689	1787
7996	12444	8067	5255	6704	232	12041	2975
5310	11386	13037	7320	9588	6186	4209	8711
714	5865	13023	9184	10416	5273	8501	6600
2884	10798	6190	9814	12379	5480	10082	9162
14183	12738	9163	11428	1772	10261	3171	5152
802	3135	8214	7998	9398	7910	4915	5094
5912	6684	12479	9577	587	6240	8729	10510
14335	703	10657	3853	9123	13736	11821	14562
8908	3522	5350	8989	9207	13997	8768	12883
11403	5234	11327	7195	13731	4245	4944	5486
5795	4315	8219	13431	9981	11585	1945	5854
7859	10428	4551	5102	8147	10775	2599	6957
6620	8159	1607	3736	13256	2599	6168	13600
5711	8778	9518	10054	10604	13009	12056	5446
14423	4259	12	9904	227	2496	4217	3017
11617	8770	3137	8231	6752	7256	2689	266
9593	1289	8653	8127	11776	9251	6437	3600
2209	10373	8958	632	10795	11727	6168	5600
5033	12137	4194	12624	9267	4618	8700	9664
14222	7950	169	2277	504	7491	6209	2162
3925	3957	13894	5828	2079	13252	13003	9308
4325	5424	3292	5953	10219	4837	605	5718
5297	6524	14054	8375	6793	3232	3687	11039
4416	3671	13634	1650	12011	11859	10290	8746
10937	8474	6919	7243	1876	10257	3249	12797
258	12626	10301	10341	8605	2693	13832	5306
14031	13146	12325	9760	8658	8699	10417	2040
6702	9013	9167	5777	9677	9986	2249	6100
2678	365	6204	763	7430	4155	7546	8321
10950	6791	4451	6463	8232	9696	14250	1755
1050	11500	1515	5032	3941	9636	2071	5987
4629	7231	7929	13040	3190	7285	48	1518
10762	10372	4963	10078	4118	8775	14476	9281
3696	14657	14380	8665	7979	14585	12159	3946
8791	7332	11787	10596	14242	1172	7244	14264
5418	2981	7873	8128	11436	11798	11501	14456
4041	296	14319	8957	603	14075	11817	6
9386	2109	10725	5789	12096	1989	11265	13078
6174	6417	12912	2524	2945	9643	10167	12169
11530	5023	7381	2710	10260	9934	6642	13617
2255	4861	13260	777	6231	7802	1560	5918
10381	14065	14623	3353	4720	3367	7876	7558
9098	5394	11921	5835	1550	7	1335	3471
5301	9274	7002	9744	494	9198	2638	7675
544	12922	4902	12853	4078	14138	9959	13315
11169	8036	11831	2707	6039	9826	7750	10325
9921	2609	10821	3443	8421	8920	3402	14176
6475	6805	11903	7733	10977	1837	13119	2492
1399	1092	8922	5768	13350	3621	8922	6842
6754	2897	7935	1654	3973	11533	4361	1128
14200	10159	8422	9984	1917	2556	8871	12872
12085	14155	640	9689	5185	2963	13720	10192
5494	13777	9254	4934	14133	1741	253	12417
5148	5419	12917	8279	12842	5339	1632	7378
3677	868	12964	7461	4328	9728	1238	1269
10258	10046	11412	4717	6955	10098	3634	6677
9957	11057	12283	13273	7428	8368	1294	1013
3064	7609	7626	7249	10188	12492	5709	4189
739	215	1323	9790	6644	7247	14137	12055
464	2256	7606	10672	11109	13107	4021	8513
9619	3948	6617	1590	1519	12767	174	5250
13228	6077	577	3162	6161	11296	12936	7576
3495	8648	1809	11887	14557	338	12506	10370
10695	7182	3469	162	5764	4821	6783	6862
5375	781	3236	4743	2655	5907	6046	4089
10920	11656	934	4926	10512	6163	13368	907
1550	14076	8196	7259	7014	11883	6945	13599
809	1711	14487	14381	7716	7134	336	8917
6518	11314	481	8284	11020	7354	3575	9429
5989	5400	7773	13520	1107	372	6829	2569
13920	10127	3878	6790	9014	13171	9683	8243
5984	6467	2344	2289	954	9639	13100	3038
7587	3672	9605	9939	6843	7089	6024	9055
941	4870	7667	11640	8763	6912	6929	13661
3727	7063	8748	13595	6670	9022	9966	1887
1144	8979	12996	5865	3621	4452	4902	4368
6260	4582	1428	4246	3276	13474	10189	11426
10593	13930	10084	7254	14067	4048	4097	9504
6823	6740	13484	14445	11107	2852	3325	11761
2725	12806	13410	11755	13405	5793	4477	7193
2866	3743	4482	11101	4728	9975	14058	1257
11936	8542	11693	14530	2340	855	11338	6629
11885	6516	5804	13073	3904	4965	1000	9476
6984	14170	14608	1688	8992	2320	6151	4250
12859	884	7934	8620	12657	2836	973	2270
6146	3897	12124	864	1513	10709	5243	13912
12333	10150	6087	8062	12369	6612	9193	335
2967	3804	1885	4193	12502	6466	10958	9961
7074	8841	12753	9901	13123	2909	10533	5614
1393	1954	4721	10087	5653	3096	3099	13891
14265	2432	8536	12237	5438	11193	8628	1332
10314	8843	2106	4194	4662	2551	8527	1102
8779	10509	14448	5623	4439	6491	8674	11712
5493	5746	2882	5289	12933	12651	4341	10045
10764	10073	10699	4441	9652	10649	622	10929
8579	10705	10109	2940	13313	8270	11958	11538
10622	6262	5856	12641	254	4527	10978	9598
12633	13555	7791	827	6608	7892	5135	10879
12303	11224	3333	2145	3609	9515	12516	7850
12555	8520	11722	5988	3346	1029	7241	2544
5688	9160	14178	14047	14032	6801	12141	860
7935	11208	7237	1239	1687	12000	6903	13025
11456	14086	6020	13618	5634	10356	8811	13772
4328	2228	7077	14273	10298	8986	11406	8514
14405	9609	11418	2308	7179	5391	6768	7654
8381	5946	11113	7678	12390	8775	8386	8
1943	1998	5723	5933	12159	2902	13128	4468
9686	4727	4648	4954	9789	1935	12354	11920
3649	1699	7919	8571	9167	8971	1517	5749
12720	12173	7933	2672	3359	9293	5569	11500
2966	13465	6515	9044	3718	1578	5871	9351
3622	10248	5181	7254	1676	1482	2420	12767
6758	12211	5631	13876	6267	3973	11023	7794
10428	10861	3742	6574	9943	10064	3515	1455
14115	3713	10280	11749	14132	7864	2586	3432
9637	9078	860	14091	6177	10913	7247	14068
12760	13698	3519	2142	10220	12281	7779	4725
2712	8608	10648	6338	4607	12262	11526	1649
318	5188	2583	14156	8791	2896	12060	11281
10412	1419	12843	4352	9559	12804	1153	7872
2144	6031	13691	8632	1682	11621	2036	2322
11753	7145	11441	1423	9003	630	7375	9168
4190	4161	1633	7576	13771	8703	14515	5528
12280	11763	7615	344	2438	5374	11293	10301
11760	8240	11192	10146	7792	10925	13115	9608
8288	14212	2742	1305	10990	5624	987	5526
1570	5169	4814	11356	6123	10000	5700	6473
3023	6228	4000	5519	554	6136	12379	9860
12867	5403	2324	4679	3266	10116	5954	6847
3758	2604	14415	9307	272	10807	14272	2889
5439	7905	12961	12490	12005	2858	2298	13661
13546	12160	9975	10738	10512	12047	7451	10213
802	10312	13997	96	9469	12982	1190	4490
4015	13597	9435	11908	286	8693	13679	1566
11666	11743	12842	4217	9702	5088	11235	4349
12819	11630	910	14404	1845	5540	4435	6115
9898	8530	3219	14592	4351	5395	13195	7942
5618	14615	14690	8484	3580	13683	8304	11331
7955	11662	511	5703	9073	14191	2235	636
8966	6788	4925	11760	5807	5463	10572	8459
13426	11305	12418	5025	7653	7688	12338	3928
11986	7391	6147	6751	4350	14660	11849	5949
4402	9338	8734	4830	14460	10674	4776	226
4541	13532	14316	14468	14233	9609	6870	6735
11251	1108	6744	3657	2457	9533	8803	7231
8276	4	6980	6123	13127	2066	1742	12454
11912	840	4920	216	8856	4474	2848	6630
6540	47	4141	14643	3074	2006	2509	7681
5641	6839	5298	9346	6142	7839	808	1080
6921	9585	7747	13569	3009	8617	1721	8794
6363	4045	13045	1646	1290	8052	14583	4633
12688	120	2177	14217	756	2446	8971	809
1637	767	9201	7379	4247	10898	12044	763
12863	11602	2140	573	7266	7988	499	4211
9457	8342	11290	2364	7221	7228	5839	10277
2251	2202	3987	11291	6880	9355	5352	3864
2328	4892	1873	5499	6744	2473	4487	827
7221	2729	3178	12523	1438	2385	5759	9718
6656	3883	11015	5736	12832	88	2487	11576
8379	3192	12017	8394	12916	1925	14174	13864
6262	6003	8416	5581	10835	8466	1069	6445
1598	780	6323	8494	7078	11965	3858	5449
4545	10540	3012	12187	7962	10477	4441	8413
4662	11334	12276	6931	13500	13348	7021	4728
3110	1160	6905	13804	14607	11198	1491	2925
9065	1738	3648	13315	833	12691	13570	6553
10355	8837	103	6577	13728	11438	14031	3059
1543	1791	6161	13752	13329	4068	1164	2455
7509	10723	10860	11456	8832	9681	13853	14040
13666	2403	7433	5186	5383	2094	12986	4622
3124	8766	10939	1879	10053	5340	4453	6260
13316	8525	132	5043	12405	11096	6076	3644
1115	6674	4284	5076	2630	11648	12688	7728
13323	8137	54	8052	12256	10878	9022	8621
12633	3456	11771	2648	1412	5458	11770	1353
13898	6125	2565	3217	3272	1160	8181	2669
5515	2259	2840	14270	11316	3475	9780	11108
375	9547	4907	11869	12196	6552	8733	57
13949	3506	3300	10649	406	8365	8721	9088
11936	12912	1442	4070	584	13568	2699	5532
7637	12404	1637	2581	1908	10014	5192	1257
4093	1	2858	4665	9728	11387	10259	7545
163	5315	5392	440	10152	12575	3057	12746
9357	10437	14444	7719	1400	8659	2102	8765
11672	11824	7809	3143	9677	14134	1225	12024
5720	4511	8839	5091	1171	8590	1841	53
10320	1956	2903	2056	1205	1867	6404	11380
7162	11487	13411	9249	10613	2401	14262	5430
4894	10773	10041	12869	5553	10443	2700	5722
1604	14270	4419	4788	14435	1394	9513	5669
11391	7078	7069	14348	4199	11997	13126	12739
8747	811	9239	14654	8243	10218	2054	4488
9034	9334	1588	2680	11796	14024	6667	89
9299	7062	11052	10114	6180	8018	14091	2866
11121	12442	13365	58	6746	3646	12980	11459
2474	11698	12412	6541	104	12252	8031	11619
1326	10761	13292	8537	11909	3387	14225	10068
3053	10776	12366	2470	11198	9635	3070	7159
174	9859	1590	2	10962	878	7382	6490
6582	9623	11629	13849	12448	2127	14644	4018
1805	13055	2838	14095	1182	13290	13827	10241
9824	11872	11032	5858	11619	725	11760	5932
12801	3632	12079	9164	8137	4106	13532	11613
10965	1596	3394	1817	9690	1389	8060	6557
10166	5477	10297	3303	8863	10874	1039	9360
12494	12991	8121	14626	14485	6988	292	4880
4053	4808	829	14689	5431	329	6531	1171
8628	11214	11913	5875	11841	7059	4366	12982
12904	742	13959	9372	7381	986	10140	9362
8100	7945	10060	10393	5223	575	1236	5588
11673	5855	11076	13037	7328	5105	13948	8516
106	1152	7454	11160	10380	13855	2207	960
8963	1953	11578	2641	1132	9974	2008	12664
9960	11103	12465	6887	13167	11109	14642	2297
7065	5113	6890	8808	10345	7050	10395	12943
1540	5847	12263	8012	8890	13699	11052	12314
10456	2112	2347	3284	800	12998	10633	452
11510	5227	7020	6561	10612	5948	10218	6616
