0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
10962	7202	7356	1298	4077	730	4758	5082	1404	8725	10976	3727	10958	519	9730	4116	6303	9466	7096	8958	1954	159	1320	6929
10280	1567	7981	8695	1222	7414	2736	5931	8660	3001	8511	9167	5587	10956	5762	5642	3887	5151	5118	5975	1478	3231	1079	10048
7153	10159	4471	8865	1049	7243	7934	5785	1665	2674	374	2359	3689	4231	73	8756	1085	1703	3312	7947	5892	10058	5119	9704
4739	9127	5547	5267	1317	8344	8708	1792	8353	8784	745	8051	6411	2868	10407	20	2303	6941	6369	1815	2971	333	10116	2490
5918	4445	9709	8123	574	6841	4623	4966	158	10710	9177	3271	10628	10174	8523	4240	2635	6040	3800	5398	9046	7407	6003	3796
564	2082	7802	854	7575	2264	7642	132	1145	10318	9130	6411	8957	6925	10530	9799	8694	445	3612	8805	5430	2188	3111	10650
186	9447	7191	4197	6131	2270	3414	9546	10453	5950	205	1293	2368	9612	2572	3596	6690	6893	5166	7563	5444	8419	1656	6149
3524	8216	9059	3182	3219	1615	11081	2301	3045	766	4650	10769	8422	2852	5913	9479	8750	6418	7376	3236	5872	5947	3133	10898
10932	6936	1220	6025	5225	5561	8689	8299	5046	2688	5466	10467	2692	7505	1313	8473	5608	11017	8007	5498	8465	4600	4315	1521
4994	10736	7726	8307	1162	6834	5201	9500	7863	5351	11029	330	4335	10728	7107	4582	4232	10237	3468	2050	9632	440	1924	10667
3956	6366	2833	2763	458	2420	1752	4037	2421	10715	2851	3545	4570	7626	4641	5017	5178	168	4175	7281	1340	10596	8405	3043
4902	9484	1864	2821	282	7400	9663	7113	759	4388	10920	9898	7753	1679	6415	8149	3069	9769	6700	2872	3411	7951	10960	6771
2230	1465	3490	4362	1038	149	2543	10192	4911	5810	9325	6374	3497	7202	8201	9521	10641	3397	2031	471	4478	1514	9130	352
7822	1878	522	7420	8112	9173	4082	1739	997	5221	5072	10079	2202	7593	10252	8855	1680	7433	3713	606	4290	4736	3099	3158
10891	1367	1227	7281	921	5912	3724	4767	8609	5373	4144	7113	7294	7871	8464	2417	3443	5769	7093	9503	1120	3399	10043	9671
2311	565	1397	1577	7891	7390	3125	2319	7261	3993	9390	6279	2248	8003	2904	8106	3511	274	1811	2402	78	5628	537	8206
2790	3172	1309	10899	4008	2732	862	973	9711	1272	3684	3173	3265	3441	4829	39	5224	1196	398	513	10634	1620	3358	2352
4656	7114	10162	2199	2784	8117	5822	6816	1247	6944	5418	7659	10011	5496	4125	8999	3151	10096	2594	8715	10871	5619	8863	3557
7141	4976	6941	6624	3886	3291	4923	8340	10540	7190	5341	3033	3729	8879	5579	3909	4086	2200	10232	2895	115	8691	6930	2305
3812	1839	7274	2649	6502	4642	7051	6292	7210	8288	10381	932	5953	8595	6491	10598	7290	3828	6919	6043	2019	2656	8231	9201
7891	10437	8655	9551	1323	11055	3733	3146	8376	5773	9469	4618	6723	10933	3497	8595	9739	1181	5365	5135	7790	3403	9739	6321
7896	9183	3408	4558	691	562	2194	638	8873	2502	1806	11118	8773	9461	10742	4111	10822	5397	4666	5593	8934	9068	3958	9916
5432	307	1886	7627	3185	1476	9646	3587	9879	6479	8945	10854	10881	6549	35	1184	4022	2092	3378	39	7185	8414	2997	541
10691	9792	4559	8604	1261	3811	7320	6634	1561	6488	1852	2646	4405	6907	1378	4068	112	2070	10306	1646	7736	7921	2777	7315
9782	2556	1472	3656	5454	10741	10601	88	6688	10671	2699	2597	10985	5953	8874	6579	793	1012	2449	8007	3771	1921	365	5427
1600	753	8174	9776	4658	202	2680	4393	8714	23	1912	235	5756	6646	5038	7158	8780	10480	10199	10186	3190	5564	7548	7327
10084	2503	7849	1867	735	1497	7300	2734	10521	6780	10392	8379	9764	5321	6340	7845	858	9090	3356	10896	1184	5796	696	4181
10084	4497	7302	5780	1834	800	6032	1411	2589	4700	1427	9769	8662	1910	285	10198	9696	7713	7480	8046	675	8048	3560	9675
107	7552	7270	11081	8891	2660	9622	10700	6373	5367	4292	10182	9143	5590	9474	8171	8699	1034	9149	10483	8499	8212	3218	1949
99	6992	11039	6506	6721	6693	9560	3920	5401	10529	5704	7317	9355	3835	4319	2306	8915	5172	1893	7369	3999	9026	3223	1925
2101	7729	4008	4421	2644	10173	4525	6109	5228	7465	8660	3353	8835	3079	2266	3201	8624	2590	613	9317	6917	1510	7257	4276
10547	6435	10219	10566	10762	5231	9574	5362	7200	3043	6702	2414	4283	1186	5897	465	5646	3659	750	427	4890	2711	1675	3656
11075	10461	6989	4218	10757	9586	4837	1950	8748	1036	2161	8559	6965	6422	8603	1098	9882	6544	5750	9652	1050	7744	3184	6723
8575	9669	973	9223	908	2049	4513	526	8372	7759	700	6276	7043	2938	6029	4440	4135	461	1001	5231	8276	8589	3164	10961
9989	5622	5622	1441	4701	9810	7101	4187	5351	251	996	924	1675	6351	5592	3373	3367	8949	3113	5863	8424	1225	7621	648
10881	2994	3191	4222	6657	9578	4551	5836	7150	238	10462	738	3262	8586	2564	8603	5645	8341	2751	4493	7883	3089	1437	10445
3742	7657	7031	10909	4307	8348	7258	610	15	2716	4673	9517	1433	4658	1963	1221	8637	3475	753	8657	10165	1086	10844	2834
4522	3569	8554	6622	7147	3263	10787	255	9940	6752	10190	8864	10373	5535	10424	9116	10803	8752	2905	6972	7801	3292	10495	6598
7807	64	5447	9164	9924	3004	9910	8955	3050	1308	7006	7903	8459	1243	6261	3943	2424	9149	2858	7572	5958	5742	9561	3655
4141	2141	7688	2695	9783	4073	5570	8924	457	4382	8502	8043	7539	9471	10851	7133	9513	3406	10231	5112	869	6125	10859	7523
4398	6554	1104	4849	8657	9165	10737	10725	5275	4180	1541	10304	6445	8719	4902	9493	4509	7644	958	4653	9332	2065	532	4093
9384	3432	577	4047	2496	3624	2167	4306	9175	4706	6899	8568	8560	2897	1208	5208	3270	6576	7109	1682	10988	1979	6009	2643
5618	7467	3628	6760	4123	10219	10781	4520	2935	3981	5642	5620	1969	872	6857	4677	3713	5359	8808	1784	7703	1395	6409	1809
5396	7197	6678	5553	9097	4619	5654	6211	620	919	8537	9733	11011	11073	9591	862	7152	7354	9543	8828	2816	10056	8095	8144
6524	993	5945	5608	11005	737	3857	2405	11071	7980	3839	5021	1543	3590	2013	3714	4431	11123	1446	2707	7415	2905	10221	10295
8924	9707	1391	8500	4160	10637	6998	5444	6697	5523	5199	6693	10431	10235	4786	2341	2080	10654	10025	1809	3798	566	6515	959
11014	9896	7505	4279	5867	10280	9857	6375	5261	9573	3624	8039	2182	1440	9923	6887	3630	6784	7489	6979	5755	10368	6945	9006
2954	10182	420	3184	6218	8837	3224	6004	2730	6235	8402	5087	7589	9877	7268	10273	2717	7868	5876	2981	7941	6924	9518	3377
9094	6704	8136	6396	5869	3576	8657	1276	7117	6833	10378	840	10925	1445	9942	6541	8485	7014	7975	851	2032	218	5872	5444
5913	5194	274	5959	1491	5551	4838	9700	1200	6088	4447	298	248	9632	1963	3284	6225	7865	7298	8353	8640	2228	5748	6294
8549	5811	7237	8237	4639	8603	8424	7376	1273	355	530	9532	5447	2798	10793	6648	3081	4565	7009	4792	1727	8893	1131	535
4626	7849	4158	9248	562	10195	9552	8977	8231	2407	8060	4550	6728	2209	3821	3686	1875	10604	5691	7539	2184	5957	10128	9959
5168	4582	6170	7331	6607	3409	2126	10074	7988	4746	4321	5717	1444	5547	10315	8268	6832	2275	5528	155	10055	10355	4895	10178
2184	9654	3382	7715	4255	9316	8299	6575	5534	5740	5363	10769	451	8348	10658	9251	4555	2396	9157	2979	10147	7239	6505	3946
4986	3011	7799	4430	1312	2124	2148	5689	2054	7766	7563	9131	8548	3529	3216	2626	8199	3182	2364	7196	3100	7513	2379	3137
5500	10011	5705	4634	4037	8855	5573	7575	4770	7615	7820	3167	3585	7481	6258	1522	6795	9460	3753	5927	7507	292	6267	9820
5838	6602	1048	2761	9208	6669	6200	7698	3586	7674	3705	9754	2949	7511	2526	6805	10176	3005	2488	10251	9272	8547	5856	6081
5208	9199	9582	7518	1708	4181	7338	6028	7301	9271	6106	6816	523	1141	5641	10256	6659	1274	1880	9595	8139	1851	9029	1326
1475	5727	11080	3699	8908	8510	4143	1398	1119	4938	2122	8885	4699	10051	1181	3124	5629	4095	9509	6908	5465	8348	10489	7694
3447	1712	7101	4477	6011	10669	4961	605	6918	4951	3172	858	2042	7612	5875	1374	4499	7836	7756	6065	3483	4819	55	8803
1839	5439	958	10385	710	9087	7123	2219	2665	3535	1924	3156	7423	2248	3142	10099	7969	905	3211	7951	10333	1605	722	6440
6409	8182	4137	3094	5051	9583	6520	709	995	1623	9848	9556	5879	9745	5697	10192	6481	2901	9354	3035	10461	2441	6060	579
201	6831	1119	3489	10587	10193	5213	9355	4678	10076	6491	8261	4630	7314	7641	4158	5775	11130	803	6605	8944	2109	4285	5890
10309	6295	985	5812	1768	5176	1513	500	9938	7887	59	1580	442	10232	2208	9904	666	8287	5234	2189	10716	8351	8809	9334
1754	9369	3810	1859	5535	427	2692	6549	48	9198	3127	4415	9353	3371	746	8878	7772	4899	2188	3196	9362	891	11092	10386
10066	2800	9238	2198	5999	4431	10757	4769	3989	4209	784	4407	5381	6565	688	3418	6762	10366	2982	3780	6364	4913	397	6410
10560	57	4527	7470	5569	5810	8408	9410	7342	1783	367	9429	3854	1640	6597	7440	7803	2417	9864	4652	10345	2631	7961	9249
8275	6040	150	7630	4307	10603	2377	5739	5248	49	4172	6150	10339	7569	641	6234	9276	10864	4758	3392	10768	10216	114	9770
3197	6286	3927	5377	4114	4520	606	9440	10302	4346	1312	9661	3120	7101	9137	3415	5630	405	7104	6137	7666	40	992	388
11030	4544	8493	8784	10852	10212	8787	8828	5221	7841	10023	2729	6320	8382	3385	6322	4051	3245	7100	11045	7093	4936	9270	7758
8652	5201	367	6073	5836	9919	1787	2246	10537	2244	10583	4142	4325	1923	7624	3738	5563	5187	442	5001	1154	6057	1842	3870
6641	1447	1388	5259	7636	9029	9367	1580	1615	10088	10376	2350	8536	4126	1470	10551	9513	7501	3452	56	1421	9677	7538	9852
8576	1527	2240	602	5151	3956	8700	8142	3932	9056	9428	7042	431	4035	9084	6293	1547	5646	3607	639	9369	3091	1662	10902
8317	6916	3467	8246	3121	5007	5479	5940	8079	2759	567	3625	6604	7066	5785	9078	1785	7656	6312	8660	1754	10324	8342	518
5091	8596	7829	4719	6572	5021	883	6748	2605	9022	2949	1295	1827	11047	4225	8501	836	394	2670	7928	2821	4919	2493	7254
6091	5534	7664	7106	8544	5087	5459	2511	4484	6401	3478	1862	6232	5974	7205	6790	2958	6423	7119	1665	5233	2704	1971	4389
5334	6693	8366	10469	1225	10113	8283	3316	8162	8867	9459	1450	10678	8095	4603	1171	7315	8062	5552	8970	9891	8308	3556	6825
2518	9510	6966	1634	8040	4918	3547	409	5201	2931	5595	3575	11059	2061	10715	9776	10538	7906	3102	2215	3114	5621	4544	9598
8392	7533	7641	5026	6002	3003	24	7386	8492	2528	6919	5638	290	4388	2935	8988	8284	205	718	8580	3708	1712	1435	3831
215	2403	6489	4381	5862	728	4308	4527	5066	10535	1370	727	9635	8552	9275	5203	7042	3046	9984	9828	1600	5364	6100	5844
3491	2310	8775	11063	1801	5563	10448	5116	927	5027	9102	5664	5346	9448	5204	6861	4691	9406	7680	2405	2527	10351	5944	3807
89	3550	534	794	5885	4730	5157	3738	8932	7416	10893	2330	7532	1486	10935	9714	10313	647	2832	10682	10869	10253	2877	8499
7238	5893	1616	9400	6780	10456	5961	3015	4925	8422	4274	7982	8482	5188	11008	7716	10238	3922	2386	5858	4481	1014	6992	4170
548	9860	9792	9882	6511	544	6178	5561	4223	8346	6503	9182	1043	4067	407	10216	10224	129	7569	878	5747	1828	950	585
10573	10300	9193	9697	6234	1973	4193	9742	7770	10280	10279	7944	10441	6189	4798	5180	9443	2906	4427	4973	10235	7579	1042	1605
311	6923	1933	8173	8680	10792	963	10862	5407	1530	5721	2247	9351	773	1496	1481	2688	10211	4821	8726	843	10203	7973	4209
2168	942	6376	2800	4440	10949	230	1994	175	3580	2770	7379	9794	8794	4815	5100	5524	9793	4647	6189	8553	3457	7858	8424
9898	3666	3838	4880	6850	6186	2687	8839	1560	10167	8378	2580	1581	34	9257	7672	7329	127	8322	10379	7253	2411	1259	1989
2969	5762	8292	730	10889	2953	4335	4660	9432	9804	2773	9011	5334	9071	8	11083	10254	10180	9461	3885	10197	10270	5042	3510
10686	4968	8670	1632	1181	8372	1708	9130	7043	6537	9907	10691	1664	6533	2458	4767	1193	5206	1366	6375	4472	2195	3923	4616
5129	2519	5736	10746	10259	3721	4332	4996	7067	1194	1005	4996	6699	3187	3685	1080	10687	4226	9029	5157	1657	6798	8378	4763
4208	10321	1118	3140	2243	10098	1247	7597	10548	6030	7708	9386	3928	5066	3612	5317	8426	800	5219	8168	7013	10590	1407	3578
3191	3868	6317	10407	7132	1126	6905	7956	7772	6898	5580	8873	8713	3591	1576	5048	4661	4201	3534	826	3256	596	3667	10873
5771	6424	4489	5659	6041	7983	2881	5732	9071	2588	7478	5037	7991	8793	1456	2837	9388	6764	10880	301	6280	3717	9236	2291
3440	4792	10409	302	8234	8896	10371	7697	4847	8389	708	8628	3196	7029	11069	5599	7984	3744	8579	2609	4306	5560	322	5400
4773	9402	9138	368	2873	4360	9679	7415	11027	10679	10791	3888	1035	684	9051	309	2985	2359	3361	6730	1832	2136	6258	5080
7407	3763	9650	4440	9541	11001	7182	7493	2977	3078	6716	5279	8566	5882	2557	4343	11129	10860	8984	346	9010	8175	1808	10916
3219	1315	2855	9601	2737	7637	4600	2243	4269	2391	3383	7236	5649	7793	895	6387	3753	5873	5755	7027	9431	8388	9077	355
2486	727	6275	6999	10784	2340	9441	923	2252	7118	7478	5949	9195	3270	769	6986	933	461	1423	6315	10717	8124	9193	5841
9457	5190	1972	10466	768	10281	2632	5745	4231	4334	9047	7168	673	7665	7472	7124	10292	8378	587	10166	1802	1544	8015	9831
3096	10083	4495	7246	10854	9331	7210	68	237	2932	7983	10414	9839	2977	6492	10603	4113	3389	5474	7851	9916	9724	10812	296
9594	3430	805	6815	7298	9406	6581	4698	9016	11104	3085	6378	5255	8316	990	5734	3783	7778	8971	10317	921	2235	8344	6787
