0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
12881	8530	8096	3930	265	4076	13476	9853	10408	3715	11491	18659	16733	19829	4571	9999	12599	900	3337	18671
19225	1441	12448	5164	19510	8042	11784	10475	14472	19851	9952	8012	10072	593	8477	4862	1146	7054	4940	12893
1953	8160	12299	11994	5971	16168	6304	8672	17769	12603	14614	19636	3378	7119	8814	5299	17279	17626	10719	16975
5722	443	12837	14910	12205	8227	5747	18036	19789	6703	18159	2083	2898	13882	4000	4051	8296	9804	4969	7343
1515	15257	1246	16587	8732	8965	14332	7633	5348	18049	3083	10449	15778	5073	19969	4128	16650	10738	10372	1373
17088	19484	14035	510	11809	581	15576	4927	11840	9943	19936	10648	6336	16580	19307	2570	12963	17794	19316	3479
5104	13448	3199	14762	30	440	16049	6359	604	19349	6001	7755	16794	10259	17993	19132	10629	3620	8749	9764
18291	13019	12694	16302	19906	16639	14408	12950	15907	5116	9067	14329	10779	11792	18420	10963	1616	9917	10499	16931
12751	7550	11292	8902	11588	1587	15570	15486	10198	16055	1633	4644	11550	16344	13562	615	11319	318	453	5016
3605	12503	17243	18886	16386	1466	3936	4396	1647	1541	6138	7790	19066	13784	15784	2639	5260	12396	1005	3403
16233	16978	13071	9331	13857	13124	1574	15185	11285	18651	2429	9589	14797	11307	5999	12065	11535	983	3394	14874
4827	12545	3982	9319	10763	14137	13754	15635	7111	12392	6000	1556	17558	1896	16380	557	5193	5741	18058	6291
10576	9884	7865	18387	651	12698	11329	12205	11134	345	17796	9358	3054	19076	13968	4141	10863	17022	1823	15962
19630	18180	5189	15526	13104	3819	8080	4667	3485	16515	11781	16663	381	15362	17701	9686	17959	8471	19097	4702
18301	18222	12966	13076	10759	7738	12596	15760	4666	10270	716	364	17531	14914	8626	5729	18881	320	6142	5219
13612	18061	16377	18141	8638	8495	8693	5478	19926	1235	19609	420	6668	13560	5642	18730	9045	7346	17909	5239
3085	15932	7720	13249	1087	6974	11694	3802	17514	6073	19393	17790	14480	15826	2718	121	12271	14997	5759	14305
13889	794	13718	19179	15239	10872	4823	3639	7388	9786	14770	18269	7587	12584	14871	1810	498	3645	15774	4889
4067	6218	8521	18849	14294	8034	4403	6671	12952	4467	13522	3286	10788	9802	4830	13377	12259	6662	10729	11264
12451	11944	18222	2323	11121	18252	6848	15284	4059	13911	1981	15015	6721	908	12718	6427	9671	3287	160	7703
3032	17379	18057	5664	5216	7778	3741	10870	13413	9040	15592	19564	6296	970	3935	19667	12341	15119	7062	2361
19866	18427	8306	16117	5436	5506	5912	9588	15015	18157	14702	17401	15888	19727	16659	4178	10262	13261	4514	14987
6144	5337	9502	14178	2235	19635	10836	10086	18753	15539	3919	7032	14120	9277	7103	13144	1634	18358	2459	5108
7952	9205	11812	862	17952	3321	13267	18992	11601	16137	11048	17455	17386	4562	10941	5308	18829	1797	6833	17718
14291	2459	13332	10392	18358	5170	14227	14547	11097	3193	10615	13123	18553	11305	6139	5804	2068	18302	18470	10572
18867	3393	4180	14573	5939	10545	3402	17191	10196	1501	4440	5948	6973	16634	10306	19271	1555	19557	4210	7589
19723	14998	7372	14889	7322	12541	4049	18092	7547	5582	14066	13099	6068	13332	15521	18294	11056	13829	1715	11384
15576	2280	13164	15919	2957	6938	5998	4155	19135	12011	5505	4987	12054	621	15296	12640	3538	18521	1386	5704
1557	965	7282	8483	4172	19472	4685	16758	3349	9549	9910	13775	10570	7721	6471	9320	3093	6158	12750	19901
1713	2647	10644	18923	10992	1572	7603	126	10087	10982	15414	2390	6806	12174	2495	4803	493	3439	14752	94
12942	13574	12689	11149	7114	343	17391	12911	5198	2182	15281	5412	14486	5624	10461	6534	11200	19604	17058	16489
242	11848	9574	6626	18876	2228	425	16379	4670	2298	17083	2226	15526	15127	5993	1658	14403	17391	8097	6509
68	1636	19138	3342	17031	487	14067	14831	17027	6350	291	17458	7193	3117	321	16544	16824	7010	10213	12135
16734	14908	9931	5439	19336	2507	18239	7191	2640	10597	19979	5435	14583	8429	12213	4179	11778	16945	5349	3277
