0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
12650	7307	9330	13933	12245	6834	1906	13789	3230	11280	8169	15026	16250	16022	4132	6615	5442	6818
15739	16461	1326	11228	6014	9143	16200	16356	4936	13287	964	9373	5198	8504	14780	10037	16258	6369
8281	6977	14246	12658	15869	13398	5337	4176	1389	10723	14326	425	4166	1487	5336	18497	11656	933
15760	2714	16053	8496	949	18784	17436	5827	1075	13672	13751	2500	14668	13584	6520	5233	10614	18603
18796	14805	5506	15937	16835	8215	1139	16648	6169	18649	6878	18647	3104	332	6475	6110	16221	5742
7118	8545	3564	1774	9383	7670	4248	4947	366	12947	2893	14843	11037	15631	3902	3045	4663	10684
5430	17763	3529	17126	18226	1006	15562	18884	17290	9171	1576	4630	18932	9731	9301	18283	10309	4762
716	1600	2326	4893	14147	12553	5007	6654	482	7110	6092	6805	17498	17246	1347	17865	8941	9535
10822	14950	9456	7286	9895	14021	18461	10748	18755	17142	455	17710	6111	9801	9440	5733	9908	16125
16742	2970	18441	10749	141	571	4473	15223	11988	7555	17061	9844	6831	15777	3852	4998	668	5425
9163	16331	16629	17676	12340	2354	10956	5847	4062	16074	3797	2222	9651	10159	16028	982	16118	3584
17741	6594	4125	9918	6002	16566	10185	254	11235	9853	17919	10199	685	407	4702	17954	3132	16826
6271	4313	17965	3741	5005	4028	16554	13551	7198	4086	6008	12422	13465	5933	16687	7142	12721	18026
886	7822	14284	5217	1134	2227	9802	11272	3143	13349	2139	5906	18506	15192	6384	4957	18497	11194
18860	18424	10348	13523	9150	6904	7259	8643	2926	4053	12776	6958	6453	14030	2533	14406	7609	4363
13046	15748	485	17157	1331	2832	13547	10633	6299	7777	7631	3352	13167	11325	357	1247	10133	15404
10613	2579	109	8906	1095	4759	3957	3893	14515	3269	15282	17212	2982	1912	6388	15490	9757	1101
12485	2561	15854	14158	4020	5217	13593	8874	10389	2672	901	1137	5286	13279	17571	9099	9567	12715
5363	13088	11905	2774	11225	3079	1386	5770	8608	7382	11436	1779	10644	8701	11139	5914	3578	12491
5472	7114	13450	1320	14384	8654	13492	12144	7678	1215	15442	6658	10961	11782	13713	1136	16656	17986
6532	17313	3501	713	13134	9838	13152	14152	11909	4128	18677	9019	12714	17587	18337	10243	9290	372
13764	11650	15915	12856	4741	15562	18636	15088	9159	8657	4600	3879	11822	10976	11864	14093	14490	9062
891	2974	18503	17251	7087	1403	11371	4817	11121	4118	15611	12217	1036	17364	9414	4547	11327	5030
2292	4663	14919	16331	9909	541	11113	11341	657	4292	3313	4518	3540	8635	407	15356	15797	847
10630	3929	14100	1060	9898	11184	18612	7900	6308	16728	15842	17	2395	18754	3374	1548	5469	14349
13875	2113	9880	18683	9365	10603	4152	4815	11328	1023	14534	10688	7511	1598	16194	8658	18044	10870
7960	2937	7416	15329	18510	14126	7161	12531	12430	8743	9894	18786	10846	10826	1234	16864	3123	747
9718	6718	8905	1808	15141	18664	13075	2031	13035	4211	8159	17933	18194	1018	375	7056	12653	17315
7453	5594	4710	9804	11038	12753	1873	497	7302	6973	2726	8156	955	2240	3359	8040	17570	86
11379	8992	2212	5423	14971	17201	6583	1454	10280	4715	15915	18438	186	16743	14020	14773	16659	2977
15414	6597	4502	12635	17393	11132	18113	2248	113	15285	7284	8437	6585	18408	2876	17711	16241	3031
4012	11029	13534	10572	1805	3317	528	1910	5153	2047	6995	4231	1446	7325	6953	1803	7413	18679
7565	6516	6777	9355	9984	2389	4150	11278	17274	292	4583	13895	14093	9786	10900	11734	15764	8754
12123	11614	14838	6242	12376	18925	10583	6996	3476	12	86	17477	13540	6397	17188	398	8919	3403
17488	1744	15755	16513	1788	7372	14220	4518	621	51	4514	3054	8052	2783	299	2480	533	6303
8329	17829	7806	9812	9372	10743	9612	491	16132	15654	12975	12574	8417	12014	12417	9004	17941	3893
3864	16395	8010	14211	634	1517	15357	3086	12996	10477	9487	7061	8044	16477	6785	13315	6446	18370
15593	12995	13553	4554	4686	18241	11476	8087	8619	14878	8481	8970	1796	12506	9240	10687	9245	7129
7024	3100	12299	7960	13964	6223	12995	18107	3918	3157	13029	1891	2428	5362	8399	7593	15046	3976
197	17352	9383	5447	18728	2373	2856	6553	11931	7926	9081	18362	2197	17470	7284	7325	4850	4530
10549	9642	4714	15740	1943	10944	12486	4437	14798	2087	9961	10875	7389	6033	7455	18879	16957	17704
18735	3652	7558	11092	13971	16031	5569	1371	14751	16722	6823	584	1274	8940	13940	9918	4978	7590
7377	9700	18743	5316	6656	12715	6760	4197	10667	699	4211	9939	1016	13531	8662	6260	15278	14718
17076	7202	10282	18924	18545	13815	5917	9706	5704	11374	2398	1722	4915	6851	3397	17420	386	11919
15260	7438	6712	9661	15358	17239	5318	17623	16394	1499	3789	14057	3898	8367	17868	1002	5118	18637
4282	4713	16563	11074	7353	9856	3437	465	5321	341	18225	1765	8242	3446	15665	5372	5559	614
6878	17342	2157	8757	3350	6488	13098	2402	9257	1223	12816	10468	1451	11460	17446	14782	15175	18874
2553	13154	6780	900	1525	10438	18031	8900	16201	12671	12334	4389	2134	16471	4942	2895	14480	1233
7347	11170	11763	15444	11668	6154	415	3688	14675	5645	11980	11249	6546	10456	5107	13682	14165	9160
4048	2223	165	7695	13025	13492	2759	14459	12725	6366	16410	1124	1102	17547	1838	7788	5473	1460
13504	8184	7155	4134	14516	4748	5674	1144	9045	15864	13287	17808	16573	224	1078	5295	17064	17950
14961	5124	18880	12025	3118	9400	10121	2118	3890	2139	9621	5952	4700	18312	17778	13715	10724	18391
18274	17408	12427	16108	14243	15736	15887	12401	13340	707	15982	4364	18484	3546	2363	14614	15398	11383
902	11401	16888	1106	3504	6213	13887	9658	3371	14040	14914	9907	11510	13982	9421	6880	9875	9055
9470	16923	14199	6745	1891	8384	15273	778	3459	13757	12563	9065	14789	1586	4367	5445	16893	3460
60	13779	9485	12052	6328	14794	15248	4856	10313	7833	9672	14776	16101	10347	11544	12984	13947	6491
4927	12064	7977	12323	8326	6043	13772	7699	3409	16480	7582	5312	5051	17249	14061	7758	12207	13545
13587	4985	13689	12296	1783	8160	17552	1133	3367	17948	147	5642	10	12026	10295	11030	12629	13551
14751	14227	12550	10414	11065	13415	10281	17872	6649	1131	18489	12380	14779	4251	7238	16751	7201	17029
2868	3108	17473	10005	9069	17817	3692	7062	18610	13845	15446	2874	14074	15278	352	353	11567	10864
26	226	18947	1261	16084	12446	4271	13211	12609	18954	15955	6969	13273	18557	14867	18632	822	12364
16166	7819	3579	9640	11233	118	17287	5713	18096	14443	5454	11374	14907	6775	11487	11404	3940	2761
17369	3620	11543	2387	16274	8681	15195	9608	15986	2514	7906	3882	18844	6532	7305	1480	11460	3027
6847	6017	2390	16426	7378	9932	3874	14840	4120	16728	11989	5534	163	12332	11044	3854	9484	10943
11665	446	17201	11234	8420	15446	6168	11069	12873	10929	2368	17465	8886	2832	2803	8385	7872	17248
4983	5743	11024	9831	15427	12162	6771	7776	3562	2701	17391	6251	9580	4897	1441	6477	13358	4434
7931	4875	18027	3231	12142	967	11374	6952	11245	11368	11046	13731	13239	12167	7682	5265	16337	11896
11426	18500	13354	16307	17073	9820	5870	7214	16119	5054	10803	16921	11584	5059	10672	2878	6446	6649
18343	11752	476	3233	11727	15377	12689	669	5790	12767	2747	8403	16998	16053	7519	6764	6279	15868
6776	5651	5567	14988	8642	11130	16963	5177	15298	14100	3768	6885	1519	17234	4275	9883	1151	10864
11566	3470	4456	3678	13241	3197	2192	5175	15494	4618	2584	13855	6385	15662	1124	2284	13287	4231
15866	16705	12403	10776	15602	2394	10195	3169	9343	1747	5708	17696	9103	8221	14343	6386	7703	16757
7672	5010	9	18256	12526	5410	17560	7818	13435	16237	12465	2477	6806	14083	17438	1742	606	4096
105	5201	12049	4080	13188	2063	14991	10185	10904	8108	14038	12059	18727	5963	2083	8366	2033	2071
12954	8883	8610	14555	18336	2635	16150	12302	18116	9151	18081	17078	6265	1544	5023	1290	146	12460
17598	16242	4727	14819	17991	3870	8633	5828	9761	3931	9369	8765	3901	10978	16794	14219	9277	3385
427	2266	14545	4023	14261	13254	3593	10879	1006	9890	7131	11613	17634	16885	18551	10133	17268	16896
11707	11968	6611	10336	5248	5911	8806	8817	11921	11308	14832	10268	10058	11612	4060	17958	12262	3013
9240	17500	3245	18743	5158	3961	17222	16824	10047	992	13862	7271	14221	8417	9844	14964	13883	5973
1954	11271	17577	12106	1355	12968	9092	14874	16288	5199	4432	4248	3229	17235	10485	2932	17966	6128
6906	12628	11427	9413	14008	11102	1545	18899	15876	3378	3232	16541	6179	5857	2324	6827	5037	2189
12643	12609	14444	13324	9709	12121	15928	18741	13764	533	13352	4773	5535	15941	3101	1923	14143	13631
18919	17741	17959	16718	16754	11827	5410	9557	2202	5713	18846	3696	7648	17948	5562	5394	7789	8417
9421	9148	15833	15942	727	16994	10595	10409	5138	8929	15280	9984	5204	8092	13269	9672	11635	1392
5996	5935	4033	12238	11372	14440	4436	13408	14798	5989	11769	9993	5621	15519	14848	7470	993	13316
7768	11490	17992	3209	16485	9514	2443	17742	1783	17916	13421	16154	18311	14469	16424	11768	8301	5750
18720	12496	12949	9455	15994	16286	5492	15644	12296	17237	8272	9146	15691	16137	13408	18704	13236	15048
5990	10768	7267	4064	1755	9494	13961	6137	16366	4401	14267	18075	17126	5346	10226	6053	18754	17331
1357	9065	7215	6576	18678	17178	1383	6811	820	5166	11137	7171	12827	9748	6518	18719	17309	11900
15527	2657	9637	18877	16543	15770	15468	6596	4489	18316	8616	13903	2706	6817	13251	4326	9362	3689
4424	11345	9983	2925	12144	510	14845	14207	3495	10831	1434	9844	3586	8666	10943	8544	7060	1135
3161	8892	5171	17618	9872	1533	14010	11620	17632	14900	5835	17681	8290	744	16348	15235	9093	10734
6278	13132	9524	14410	4569	13969	580	11639	2897	9227	12390	7765	14494	3871	7549	3177	17004	12605
16263	9570	14197	14646	16606	7829	854	6061	7549	5529	17636	16822	5400	10398	17899	2881	10166	17142
18105	7752	15280	5693	17037	4823	10657	17120	6150	13976	7134	16456	9951	15926	8860	4783	2511	10722
964	14188	17468	16779	8796	6221	10019	8844	1482	18890	16575	12572	10687	4950	4411	12808	10558	5407
450	7291	13236	17622	236	15366	2984	6904	11922	12675	13562	1511	5182	10290	17091	9041	7712	7854
675	10422	17460	13175	8304	7224	6608	11143	16086	18117	17259	8271	17473	7590	13574	18768	4107	14740
11115	11295	9132	6158	16162	16670	5087	16439	10777	13786	6854	15783	12865	8177	5025	17063	10886	5574
9782	13226	1567	16679	16251	15684	9998	10829	9582	3239	12084	7622	12186	3047	11482	5186	5174	4607
10716	11592	8108	5592	14455	1491	8451	16590	10166	12741	16833	10982	16081	12462	15622	1188	3006	7829
16070	16779	9949	13581	2323	18738	8904	18414	4956	10058	7000	14666	15302	9982	12015	2610	17778	16352
11710	8906	31	13625	642	6069	3748	15032	9198	16129	4367	7732	15912	3499	7547	12938	16675	15383
14360	17626	214	5479	6172	3494	14603	7633	1909	7468	1679	11730	7257	8876	10909	12956	5839	13620
5639	6356	17633	4368	8816	15305	8362	2496	8556	10334	11862	4368	6799	12450	13356	15225	8243	5631
14862	10398	15588	16968	2838	2526	409	1783	5898	4311	7098	2247	16578	9636	10294	9324	11833	5155
9661	13452	641	4451	2494	11404	5878	14277	6552	4743	12450	12251	4981	18435	15646	5245	8148	13820
443	11388	190	16665	8979	579	13706	14444	615	16179	17261	7628	12424	15791	8384	17646	5917	4523
1138	9400	16587	12381	18705	11509	13813	3904	5057	16781	13593	5912	12007	253	5354	2236	9989	5828
3022	10470	1127	2615	14282	18173	2104	5013	14836	8457	1540	5752	6730	5874	8925	15834	9730	16472
4410	9076	6474	4691	17764	1439	12786	5221	568	5784	2264	13027	73	2916	4688	5591	1175	13003
6894	8446	12444	14481	2215	3796	4590	4993	8537	7877	12662	15160	8392	952	15652	535	5084	7801
13821	3934	17488	7391	721	11477	13669	4239	16361	5981	3253	18049	5250	9139	14978	11812	11533	15788
3124	14973	1361	3571	8974	4842	18716	1621	14465	3904	17229	17037	4966	3033	18127	5993	4765	18656
6019	1024	9374	15511	8786	12070	5818	12752	13664	14956	4465	7968	17053	15769	4826	15263	5133	12339
10680	14013	5831	8074	488	6890	2109	9302	3803	8768	11140	6806	17378	1227	461	12358	17915	9134
5606	10357	6713	4244	8683	12527	6365	18273	17948	7759	7459	5691	1122	12501	14422	8888	5162	12969
1386	3853	17125	9141	16018	14901	12962	14507	18622	12306	5498	16052	11862	5799	17481	18731	14364	3661
5489	5098	18321	1457	7548	2447	13168	18152	16582	11703	9324	16898	13999	16806	12422	18774	9412	15119
1143	6030	3403	14539	14152	15204	7957	12873	13655	10886	10905	4320	16055	2975	7816	17327	18729	17293
18814	18721	3638	16524	3162	17597	4167	15002	15561	11000	7841	18553	17559	14299	16977	10728	15323	8984
286	1758	17515	9438	7714	16419	13095	2955	15428	6327	377	1013	8836	18434	17187	13760	18583	14434
12458	12162	3495	16795	11431	8617	17249	14639	17405	3190	18923	10961	8457	4195	1074	13152	2545	1086
16828	5553	15173	3067	15136	7148	5574	12604	9823	7571	13727	9265	8150	10829	15326	11230	10203	12333
3089	11573	11406	11491	1785	15286	14528	1130	6152	9847	14337	3657	16662	3397	6873	3773	6426	212
5754	5992	11643	10820	13631	13253	16328	14097	12301	16403	1025	3042	16516	11445	2074	1536	2662	14404
11340	9408	1423	7408	18391	10869	5758	9236	13055	18335	13666	18159	12883	17063	4443	18744	14511	562
6153	8533	8698	14222	9747	4678	18665	7413	3765	18889	7980	15091	18636	10960	12445	180	14108	9854
18660	5327	850	13346	5169	4467	11870	14152	14502	8236	13796	1548	16912	16103	5458	731	13514	12623
14417	16251	7120	5023	9615	14992	18777	10506	2365	337	674	10728	9204	16459	13499	3416	15962	5335
10610	18317	17667	10806	6222	16702	7471	18110	5516	8595	11673	750	4800	1146	5880	16593	16993	7808
11762	12718	16235	2351	12486	5073	10615	356	10054	9038	16079	5529	18735	5125	14672	3084	10265	15430
1057	16420	5867	6250	17613	14548	2686	1042	12433	9257	3706	1817	6136	13979	1979	11734	1069	4611
165	12440	18804	6067	16765	11090	2456	8972	17796	99	18172	4347	16954	889	7995	18133	17433	17266
7204	18525	7199	2800	6868	3465	1795	4529	18371	18169	17603	5719	15469	16844	897	14096	15606	5280
1990	4130	7888	5930	14414	14547	16003	2613	9627	4944	6699	14330	12154	17991	9972	12123	7635	10516
2725	6521	14138	11497	17919	14082	13787	4191	14232	5702	11505	11526	12781	7582	932	23	4051	8093
5949	18498	6042	9705	11167	8543	16444	8834	7547	2281	16471	1983	13826	3815	4745	18572	3351	15470
7153	8837	8682	6839	18045	8884	12094	11214	14789	17847	18150	17756	9578	8006	1176	448	7129	19
2551	4812	1795	10285	2722	12723	1710	515	12407	17107	2973	10738	899	8668	18472	13160	10468	2207
1666	11980	12027	11862	4604	15255	10491	9139	6320	18728	9926	8400	13146	16578	15425	5558	434	17788
10678	6281	10928	16328	18520	13944	1310	13523	10300	5655	1548	18948	1453	14136	11969	3002	18389	10181
5451	6741	2009	7571	11999	5084	4340	15905	12088	2173	3901	4276	14136	1720	16446	11916	1130	4900
18162	10864	16717	13535	11966	8625	13308	7406	9283	9275	1610	364	11852	2697	11959	15281	18811	10762
17669	4235	17176	6352	17351	9716	10354	8034	15957	12276	10453	11569	632	2212	9656	3203	12197	4298
16788	3626	4023	6644	11773	17600	13844	14794	4850	3031	16579	14841	2742	4762	1102	16874	15674	15382
16160	14347	2988	13095	5911	3547	9891	13957	2115	5491	15252	12119	13981	15610	8786	10137	1171	13191
9920	6199	6817	18027	1416	17406	8240	8236	7822	5779	4442	9702	12615	892	17552	11096	13620	15540
10637	14683	11257	5355	14769	16819	16187	17985	6290	4879	10564	14789	3337	16580	13225	14320	9575	528
3010	17482	14547	7928	7421	5733	10849	15395	16797	12153	9575	3967	12994	6162	17232	5396	17729	15999
16599	332	4140	16028	7212	608	567	954	787	16354	1903	14383	9334	10175	8646	4327	9860	3375
8803	14138	1251	5035	300	11370	7274	5528	13219	16967	10871	13926	4545	3510	15726	334	7882	4210
4120	16054	41	2318	13872	4434	4441	15961	55	2135	12479	2011	16243	9354	7631	8380	8152	5514
17522	6073	11763	6908	13647	5821	2730	14965	12020	2671	15283	15714	10339	17659	7879	1924	1718	14229
13994	11503	9816	10422	14595	16261	13257	17776	4625	12589	18816	14494	5359	1258	11153	7653	8270	7945
1274	2097	1278	3823	1077	13422	15132	5570	15134	13140	2422	12456	5730	10688	17272	13617	6586	4252
