0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
3247	9355	12133	2340	12368	3806	12237	10141	3220	12721	12669	12511	5698	9147	10533	2391	10476	3050	10312	6765	2984	786
3000	3791	10090	4467	9714	6949	8906	1300	12601	10620	13150	1167	3147	12417	5220	7247	12732	11995	10462	2114	9480	9785
10973	5704	5126	12472	7874	5822	6494	772	5653	6266	6896	10858	11473	4038	2168	10678	7444	5132	3143	2133	8954	1638
4165	7732	8362	1330	6639	9120	5401	4530	9502	7674	10760	6449	12641	12975	2411	8401	10504	9376	10578	1718	4854	10268
11455	3681	7919	6644	13257	7243	4253	13006	749	69	4323	3854	10938	4558	8716	5960	10791	4836	13264	364	3283	13048
10822	219	12439	1562	10920	6153	4047	12181	10654	9629	6541	11326	165	9149	6121	4212	4582	6089	12277	8008	226	11944
8890	13031	9177	7572	10749	10602	48	1642	4485	11627	3612	2746	9515	3997	1861	1580	4945	10818	12597	2389	1583	4369
13181	1274	781	2039	6701	10630	1411	589	6600	183	9893	131	2163	5213	12716	41	5327	12477	4602	5002	1036	4036
138	3729	10295	6299	4949	10630	7219	7016	3250	7798	2968	8526	11752	11575	10193	833	7648	4443	12075	206	4058	2609
2415	11789	13268	4192	11896	3789	191	4430	9326	7095	3759	884	12969	6107	13164	11954	3061	10670	4019	10803	622	449
2782	11176	12835	13337	11746	12590	7438	2610	1846	10481	8059	4259	2271	2798	12598	8551	10791	8712	11944	8969	7211	4746
12942	125	8252	12435	8368	128	1864	2864	4516	5834	4834	8167	3840	5284	2250	7197	12552	2502	10986	10406	11507	4416
8465	5416	8549	11243	963	6961	9022	1439	333	1299	7650	4719	8500	12635	8645	8542	11658	4154	8867	12465	7417	803
4360	95	9081	5686	11015	6000	4778	5211	3013	7836	3008	7600	11801	1490	8186	1339	5976	6316	9133	8301	9856	2156
2240	4662	4221	1993	5297	7274	9204	10982	2091	11671	3660	1300	5035	10018	149	4707	2702	10086	1783	1023	6045	603
6545	13199	12966	7787	877	3352	7685	2758	1831	132	3506	3170	9222	4519	10812	7456	5363	10893	2175	1950	10566	5938
4017	4520	6011	80	8760	11996	12841	1519	11021	9127	1269	2474	8282	12657	9853	6550	10675	6856	7994	4477	457	3515
5402	8309	5820	5374	7814	5650	2032	12795	11765	7477	5829	2300	10736	5539	2745	5905	8212	709	9838	2724	8610	12529
5521	8456	12852	9501	10596	13299	4207	2772	10646	766	2448	3767	11942	3527	3012	8205	12954	10127	2009	4690	6821	6246
659	12271	9508	8542	1033	5574	31	6323	7859	5845	7923	5998	3273	10494	4567	1229	4309	5343	5904	9686	1804	12959
5391	12605	7967	13207	2609	8334	3819	10411	4266	11896	3583	6467	2245	8924	8493	10015	8422	3553	11443	4538	12723	3746
2433	1122	5441	4841	1667	12405	9184	7594	10191	535	7307	7254	4163	10967	6597	4873	7269	3348	4329	4371	10395	10183
795	5348	10757	12085	9971	6846	10929	6927	6456	7626	5258	8724	8531	10482	8127	7380	6731	4216	11140	10463	2347	2708
10794	2345	10711	8644	8463	9087	2788	5472	2256	9852	7663	7408	3327	7099	8370	5241	2982	6090	8002	12111	4355	10530
10547	8078	8152	3777	633	2363	7473	8340	8685	13015	3767	7178	10034	9577	8309	2261	10873	6891	6845	10344	9737	5571
2860	8950	5154	7493	8578	2842	3859	4963	8734	8601	6077	789	10277	6382	7624	2101	9177	3681	11908	1648	6864	694
916	11315	1887	4809	4716	3087	6539	2530	7516	1008	10123	5205	11542	852	5172	10316	10226	11331	5507	9209	9354	1814
5675	2794	12116	9853	2194	8785	3592	5385	2348	12864	4810	5309	11639	7143	2278	7048	8163	608	7047	786	1707	7497
1031	4581	9896	4554	87	186	8417	10777	12750	8033	8204	5960	12019	2026	6196	3523	6590	2314	8124	552	7138	11459
10711	331	9534	10352	10619	6365	9571	136	1503	233	5915	11396	6293	7689	80	64	1934	4346	6377	2325	6010	430
4650	12063	5354	12993	7995	4739	7437	10779	6491	6866	1251	11635	843	6259	12503	2899	6334	6154	10632	13318	4789	4893
10838	549	6930	4521	2354	4001	4359	9019	5922	5431	309	8415	11193	13154	13124	11975	5600	870	713	6012	419	266
10322	8138	2494	7496	4387	2005	2131	11510	7080	2842	4384	451	7635	20	1208	404	5102	12452	4893	7020	5833	853
9584	11411	8202	12551	8530	7283	3540	4182	13329	3515	863	10815	11638	11797	12222	807	269	3102	3268	718	7297	5144
9569	7827	9295	2336	5645	10365	8386	7738	2301	7635	10989	10897	10737	117	1587	8161	8850	6322	2156	7323	1233	3546
7055	5680	1157	1211	5073	2774	7726	10625	10571	7529	9538	8847	3611	4231	12943	7910	12068	12231	9122	9214	11541	2603
13104	5123	6005	6146	6019	6217	2334	5808	7597	3908	12775	3247	5342	11993	13177	1175	11909	632	2213	1191	6352	4783
