0	1	2	3	4
6724	527	6772	1375	3590
3128	6539	8343	6276	3316
361	9152	8855	1067	6042
751	7951	5586	7067	7376
833	4063	2402	3632	5984
7999	2384	7575	6148	1442
3555	6521	7589	9852	8419
3937	8379	9307	2724	4874
577	6770	2180	7469	6414
2254	4459	3582	308	7324
1177	5285	3317	5274	7038
6299	6901	1007	3259	5932
9824	5495	6507	5020	4371
10260	2021	7945	564	9864
1794	7975	8334	5819	2041
3654	2002	4724	4592	8108
4795	6083	7871	2996	6652
7630	3204	7937	7062	231
2486	1914	2146	2458	5573
6307	5718	243	1568	5915
5247	7630	8785	5218	2114
1019	2899	6316	6650	3866
1275	4943	6709	5583	9562
7619	9184	266	2485	9182
7476	2996	5854	2118	8164
4252	4605	4157	809	758
4529	5019	1025	3370	1915
9514	5911	1014	2445	10247
874	7276	5982	7356	945
9853	7905	5192	2322	9173
5685	9794	10138	4504	700
4017	1927	8296	1041	7316
1072	4082	4590	5747	6570
320	9783	4437	2330	7415
8941	6026	1521	914	8597
10110	6735	10150	3009	6744
7148	169	6905	1826	618
1981	3555	1034	9604	9355
10109	7049	5587	5425	2143
9907	9015	7955	5187	5410
1984	1979	9219	8532	6101
2593	2283	9369	8197	5472
6723	5077	5155	9770	147
2866	2518	1581	415	7271
4873	1694	8837	7591	5860
8480	4733	3005	3151	8734
7147	8236	8657	6122	4828
763	1348	9577	1243	5734
2448	7703	2531	6925	8419
4361	8643	2706	7878	3009
2824	7748	526	3859	1456
132	2331	3706	3447	5751
2208	6127	271	9882	4213
10040	8911	2604	8104	8945
6161	8598	6732	4133	6616
398	2575	5517	8264	3225
10059	8326	7939	7065	2046
5493	8689	4347	5597	9020
4656	561	1222	8880	2050
8517	4518	5609	3685	3346
7277	6512	5149	9348	7306
3265	2111	6968	9719	1580
409	2446	10171	5623	5159
9444	1311	7886	7053	2050
2440	3269	3704	6258	2773
4927	3086	3398	285	8240
3689	2560	6508	10081	1655
126	272	7651	10219	7178
779	2709	3585	2316	4229
9116	2987	10038	1576	9543
9538	7051	1792	10022	3412
3981	409	7778	7543	3242
2693	5236	5130	5846	204
2756	9210	4998	3529	4653
43	993	6189	7450	3417
9335	6330	5783	7660	157
4455	2405	2293	737	9171
3223	8216	7258	6224	4241
7812	7767	4141	4893	7386
10237	9481	6699	7281	9588
2234	7085	5830	5636	408
5225	9609	738	264	5072
4333	1033	99	9370	7146
1224	636	4970	2281	382
5550	2318	1832	9730	1785
3921	728	1721	336	3827
3853	7736	6101	6770	10222
527	2784	8457	9168	8989
7080	8610	4498	1408	8031
5984	7149	3188	4246	3893
8386	6840	9285	5151	8189
8068	3673	5413	9759	1830
9940	3310	685	6059	2366
7019	6886	6453	4414	9718
2191	9271	7694	3257	3339
7258	2472	7384	8615	4003
6531	107	7679	9196	7444
6014	1860	3001	419	10048
2356	3655	9581	4943	8301
3084	3861	5640	9704	9709
3484	3308	6592	1122	309
6653	4448	4355	6061	349
1868	3844	8563	4754	9690
2314	7631	745	9556	6906
3427	10070	2483	3061	110
5730	3440	8730	4921	4905
10272	4867	397	3982	4024
8060	5693	435	103	8240
3795	3445	1594	4475	6036
3107	10232	3969	9799	7496
10194	6887	8948	9116	9056
1779	9764	2194	415	1980
4424	3853	5415	8409	4484
8744	7272	7567	1008	7819
643	6382	646	4960	9163
7081	8002	8152	1088	8449
1669	9536	228	2948	9317
2256	3821	4876	885	152
9110	6250	4427	871	10254
9023	9743	3999	2056	10021
5409	6345	5700	8630	4296
8974	2900	3822	6522	9635
7263	2383	488	9259	4706
1412	3791	6020	5652	7166
5715	3820	2035	892	2426
2373	4070	2884	9653	8604
8718	9803	7666	8249	4024
3301	2116	9032	1311	1114
4974	3209	5546	530	2423
183	9190	6303	5567	3736
2025	4759	1332	5799	4574
7205	9746	2096	8078	300
412	499	8864	7554	6240
5538	3093	8751	9068	143
6508	3258	5912	10064	7254
7571	3053	8975	7380	2187
3697	8944	9446	6312	8357
405	9142	5154	9481	6019
6493	9534	9503	4360	2621
436	1420	5996	1256	9323
117	2018	5465	2927	6855
8660	5286	9830	6179	6083
3686	1398	7775	4935	4276
5093	5189	5605	2417	7923
6930	6357	5933	2249	2843
5938	3528	10213	3044	2222
6616	6558	9245	300	631
9457	8134	9231	1324	7209
4077	7698	7060	3685	7909
1294	2534	8572	6768	2731
4299	9898	10232	7944	1220
1433	6511	3168	6643	5457
3079	7387	3398	9018	7093
2338	4749	9041	2210	5822
2394	2293	939	6780	3016
2040	2947	1299	1613	9264
6950	1940	7520	4816	4782
6348	2775	3259	7022	8268
5093	7792	7248	2112	3121
5835	4332	6584	3095	2081
3241	4885	3993	3131	3017
547	6311	8116	230	1191
8046	8439	10107	358	9085
1562	1341	306	2588	7957
6413	8161	2628	10255	8697
4618	8361	9914	787	9997
1035	10051	1497	9977	6182
7206	6254	2356	8337	4930
8992	9513	5342	5786	5044
9049	5030	2681	8207	9481
4645	850	6071	4371	2414
2420	7562	36	1884	1212
5696	5347	5763	5040	318
1424	5394	4210	7202	3356
7874	7700	6336	10067	8610
8998	7384	9478	2215	9315
6603	6388	1321	3260	1736
9526	3326	7557	471	7662
2548	3053	157	9423	6214
6273	7353	5217	4108	1564
948	5831	1712	2097	6034
8976	9860	580	6714	3464
18	1415	6966	1230	7287
9941	2440	655	5685	775
8775	8655	7184	7074	4028
8190	4351	4850	8562	2883
1103	8098	8890	6912	5559
3290	5328	8237	7029	7385
4753	2569	1154	372	7783
9982	3437	7710	7084	1544
5383	9549	10265	4715	1087
3757	9450	8748	773	8358
9860	2697	2591	4997	8745
1904	8959	9370	10186	23
6324	2299	2237	7241	7987
2193	1719	9220	645	2447
3312	9498	7846	2000	10264
5678	2183	4701	5887	3509
458	2389	8226	9779	4924
4780	7081	9505	5559	10130
3892	5516	7086	7592	1248
7728	395	4059	7587	2862
2344	3223	2661	5701	2872
4862	6278	6353	3948	2228
1952	3547	8073	3960	3445
373	6069	1929	8355	9479
2064	9769	1431	4217	8902
8837	2096	5716	5530	6631
9586	7146	4966	3073	4640
9060	3134	6582	9111	1292
7432	7786	6727	10241	1770
7664	6802	8724	139	465
9700	9509	3967	766	9259
8006	3862	137	5093	8743
330	4191	7246	5202	4893
3474	3072	4021	1867	6910
2532	7268	1540	1715	2419
6869	1674	424	6168	7611
8628	8718	6936	3572	10061
6556	9969	2671	7712	1503
10236	5524	759	2042	10170
8874	10273	3275	7747	896
745	3519	6004	65	10246
1869	9805	184	10300	3357
9064	5969	7959	4178	10103
5920	115	4071	5012	6655
10134	865	980	7707	4178
1109	3381	3162	2661	9337
5825	6232	10293	2877	3191
9174	6225	8709	7864	8192
1610	5161	7453	5690	4381
1728	2177	7680	5002	5582
6993	3249	9240	8766	2191
2895	724	5623	8872	2483
3876	5374	1258	8549	6274
5380	8043	9217	3541	6903
9113	9517	8173	3185	3775
10260	6686	2950	149	4499
3366	7359	667	9357	7637
9357	9340	4919	1030	1787
1599	2082	7282	8635	7630
7244	3253	5943	8154	9996
2464	3634	2023	9387	4257
2793	3319	6657	1863	3781
7632	2287	9239	1506	7143
631	900	5004	9833	443
6952	8800	497	5104	147
1864	157	573	6546	3031
4211	394	7397	4205	2320
7695	7180	2275	3041	5581
3797	1177	1564	8010	2440
8410	5228	9284	6944	6210
2219	9016	6629	7128	4339
534	867	2246	1569	3463
841	6783	8572	5937	3265
9038	9227	1579	6154	2112
2885	7584	7188	9204	5519
2422	637	2998	7705	3343
9285	1596	8059	9861	6459
1167	2169	8178	1460	4273
3366	534	6215	7733	4848
6216	7761	9587	8205	8449
927	1468	4589	576	4278
9888	8476	7222	8902	8086
4321	988	738	3501	7609
3520	1488	2906	1233	10211
767	7688	6243	7657	1044
3614	9157	8095	2718	1452
7237	7705	505	10207	341
8526	4402	2828	4412	5588
1944	2900	7077	8626	2198
3367	10244	4020	9388	3352
3312	6540	1540	7307	5554
842	8099	6818	8439	1573
2541	9626	3375	5415	5415
787	3336	7326	1981	6978
369	9426	4359	3878	8068
94	2630	228	1925	8109
7805	4756	2785	9255	8342
2636	1436	524	5665	10281
3311	7098	9055	7352	5140
10259	523	725	581	5462
5889	8820	1139	10150	3993
6664	6292	2703	567	4220
6687	7396	5678	3440	2531
10081	8378	2496	5680	4353
7840	2656	9895	6424	749
