0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
13779	8445	9342	10812	12158	7211	191	10488	9616	7530	1561	11333	4111	9504	10418	2366	4544	4685	4228	12697	9213
9030	10669	12925	1954	6271	8843	5835	1846	10928	12243	2573	1831	8515	8334	5019	7505	3886	11386	7735	4606	1248
2094	9709	200	6175	4379	9339	6808	10316	3535	8440	5791	1542	4141	3153	8670	3590	22	8955	6235	3680	7095
5862	14301	5342	5131	3281	8716	7937	13336	5382	13291	9862	4337	13423	7489	10416	8263	12646	13478	6553	5091	11190
8018	5419	6651	4243	13603	6938	11621	10556	12098	8233	3099	13608	12277	9320	13488	12482	6528	12920	1774	6338	7811
7548	12676	2613	2877	4942	14175	12411	13998	10218	12251	9946	2194	7373	12816	228	7778	2455	2157	6998	11085	11205
3951	12058	1000	5456	1405	2804	3898	4163	4309	1336	2416	5760	2832	1272	11825	10161	2335	1309	2244	3101	1982
9734	10293	883	11892	3645	10467	4258	9408	9770	1948	6548	1514	13501	13569	5939	5988	1408	2693	12712	11889	11386
3228	1549	7132	2362	11659	8076	11826	12097	5556	1901	5698	14364	8854	2193	8858	5395	8651	14270	1256	10788	14000
12789	4411	1288	2974	6310	12612	6357	13235	7596	11634	13819	3302	9680	3548	7918	7785	9203	10956	2748	2485	3699
9950	6733	3628	1874	12448	4677	3868	9480	2324	3851	7700	6983	8634	6063	12318	3311	7543	10705	5501	12996	10154
4281	4724	6624	7657	631	11786	9696	3348	248	10268	974	9801	909	6229	4406	13039	2311	12754	3932	1021	11861
6100	12256	1812	7605	2242	11887	6566	3156	7671	1486	12948	10820	839	10485	1298	8700	7982	3063	179	5690	13611
8283	1627	3289	2603	5102	9108	6150	4403	6024	1092	1472	4935	4131	7824	6286	6502	2273	12894	2119	6173	2387
8235	5612	3014	138	1842	6060	11855	13937	10134	12442	13590	8597	13173	6940	10362	2129	808	13054	245	12212	11769
11182	7618	13283	10360	6234	13197	4416	13732	2533	11009	11437	3326	14097	6916	13929	11874	11256	10001	6916	3910	3021
4413	2583	2122	12919	1783	10086	11993	8091	1715	4369	414	13518	2679	5975	6910	11540	10882	11116	9781	399	10962
7587	9589	1074	11076	4047	16	12456	11728	5927	13475	9139	12372	9344	8767	1958	12477	7718	291	7302	2913	6866
6350	2849	8633	4760	3418	9680	10927	10619	12410	6922	8790	10247	8859	4442	9046	6882	9322	7245	10974	14274	5852
13950	7602	1915	10173	7878	4853	12197	7101	11619	1239	11257	6381	14212	10898	5426	14261	12349	8287	11833	7412	11517
