0	1	2	3	4	5	6	7	8	9	10	11	12
5185	6138	1851	9076	356	2746	948	5810	6205	10031	3723	4104	4975
3656	340	7896	256	9714	7638	4330	7450	2949	5126	7809	8215	7603
2779	1118	9404	5439	1100	6342	1374	7273	9376	3090	8513	10435	4683
4395	5139	5362	2135	8376	3153	1840	9533	4451	7552	7483	697	7530
5285	7088	7602	9342	7513	9683	6891	5730	9009	1339	4039	661	8794
6542	1119	7765	7935	975	4759	6697	8598	10009	683	8928	1984	9051
6900	4586	7075	6028	5945	5498	7195	10068	4847	3814	1704	696	2303
7850	3767	2086	2794	4529	7249	1901	9762	549	1308	6144	1926	8555
3420	3597	3187	9507	3493	5906	6488	9254	4060	2770	6147	235	5234
8850	3427	6672	731	510	8362	756	2740	10253	1052	617	2742	3820
3304	1624	8124	1417	105	7438	9193	952	7493	4916	789	8700	9843
5080	3837	23	8326	3356	3410	9165	5072	8066	10147	4579	10205	6684
8099	8225	7456	8442	9958	3935	2019	9911	561	1099	9005	686	1128
5304	1822	484	4207	6714	6479	1052	6463	3245	1909	8421	743	7099
1192	3888	4414	3746	5318	7658	6440	1532	5257	4007	3149	5907	8287
1695	3182	7191	5937	1183	7686	564	8837	4063	5800	5881	3140	5006
7195	9948	730	1105	6847	1384	3766	7504	5625	5856	4523	4007	4188
7440	7341	1172	8897	9055	3223	9679	6283	2821	8042	2661	7983	10365
3114	7278	3779	8386	9321	5489	7232	4678	3069	6902	7542	3920	10380
7310	3437	5644	1984	928	6362	3522	1332	4349	8026	9068	486	7358
3855	2746	5669	3399	4239	8529	6503	122	9930	9109	8020	6155	8781
3298	4280	8951	4820	6089	1186	1682	2843	573	3156	3375	5672	6495
986	5000	5158	7313	10196	2414	10465	3220	10000	4920	6632	4818	1269
497	7939	705	7536	6055	8617	613	5253	3703	1530	3672	5297	10149
132	8501	2897	2750	9888	1501	9559	2461	10221	9409	8755	1655	3844
9523	9371	2867	6577	6770	9730	3505	6602	1810	4301	10103	3412	3616
8077	3372	1737	2349	1029	899	6995	9958	9503	10159	839	9247	6433
7661	4358	6090	9687	7468	4150	3622	7664	1072	4449	9926	9675	3743
6968	1760	4097	4258	8854	1028	2832	4251	4298	6413	5633	7462	7365
9508	4917	3288	5075	8593	1853	1373	2945	746	4023	9097	4564	6700
8797	10459	1981	5908	3808	1622	5257	5963	5282	3049	10224	108	9148
5638	63	7375	7375	8855	4599	1206	6396	1894	3047	995	3208	934
1938	4713	8910	8585	7218	3912	9073	10083	209	10025	9721	10445	2758
9645	3003	4202	3978	5136	4176	1309	6406	5172	3538	4887	3481	6127
2825	4327	9137	809	10390	3316	6266	6743	7197	969	1946	9433	8252
4927	1498	7722	2166	8483	6769	222	5262	5790	1311	7733	2046	5897
9847	4356	1118	10099	6364	8260	598	6882	4458	3730	4658	373	1527
5346	10127	6734	3507	4920	4009	9072	10464	2434	7370	6463	3473	2745
9673	576	7106	8114	1714	9204	8044	2423	233	7771	9588	7176	3373
4230	8907	2783	1015	228	9886	9421	6992	9045	33	8876	9374	3645
6360	7889	945	4382	3660	3297	4130	10094	6764	214	1598	6192	4223
3207	8926	6060	7965	761	1170	4181	621	796	6945	4389	1601	6915
1608	154	824	1648	6290	2436	437	3241	10330	1702	5564	6541	5425
2775	7581	6556	1796	541	10206	6893	1241	3141	1269	5031	7772	6814
6413	10352	2434	3590	8103	8728	1887	4442	3492	1409	4719	8061	7780
5156	1476	7222	4893	5320	4802	6200	116	1585	152	1885	4509	6810
3342	9100	9448	8632	504	6470	5342	7861	7029	504	1338	2509	1621
1254	4360	229	5168	8061	8731	7709	2295	9324	6828	6589	5111	2583
10139	3080	7499	8241	6118	8968	10173	9090	606	4583	1624	3391	3761
9743	30	5425	9770	5760	7152	613	8103	6372	6119	4233	7201	1611
8204	9759	4956	8845	6344	4028	9302	6827	5820	10121	725	6576	3104
