0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
15614	2226	10265	10020	17125	2611	19528	9793	7670	14997	1854	1177	2750	5014	18110	7060	746	6594	4741	9543	8413	18856	1920
4321	18662	14946	15793	8256	10464	18292	4753	6238	8575	15128	7313	18446	1115	18300	348	1652	11475	10569	19142	2953	12847	19581
19047	16362	15	7422	5228	12698	7937	3376	17856	1070	10452	17439	1764	13632	2473	5870	425	3273	6807	8856	9845	13368	2744
15646	3757	2009	3025	8189	10795	12314	10706	5079	8400	14485	9826	891	15764	14970	1660	16857	6641	10603	6472	16628	19100	12209
14444	11953	4589	11998	5344	9794	4304	7097	15170	9350	2590	8168	17415	7037	3557	16987	2495	17977	16060	10630	13566	529	10877
17610	2940	7756	7329	14397	14119	19605	15363	1179	9506	43	1980	2167	6394	16917	13718	13948	119	12994	13179	11127	13798	2205
13835	3649	13185	18723	14800	9730	1223	4556	1319	19518	6287	17124	13868	16682	18099	4211	3271	8579	4357	18316	10574	4304	13477
7363	16271	19513	18214	16297	14890	15388	550	19253	9861	2769	12874	19352	1701	13564	12854	12359	19525	4250	2009	16141	2585	4952
17097	9963	5335	13441	14515	1962	12497	18548	16522	18967	8307	16215	18054	11819	9209	16101	17130	11197	10511	802	6480	5746	9007
11199	18039	18554	13096	18126	4227	16546	9361	566	3371	18389	1758	18671	9871	4382	10432	4186	8757	12465	18197	10360	7965	18230
2120	9511	14057	16829	186	11711	19219	15703	16416	8326	17131	4907	5679	2067	18154	1872	10314	10303	9298	15584	13109	5952	11696
13303	18429	1445	2745	4921	18536	19637	4750	16033	7355	6650	2722	10574	13349	15077	11637	13075	10175	530	950	1162	9092	1209
17197	19683	18608	10749	16754	14176	11907	7359	8903	7016	18349	5049	8361	11611	16053	1858	19343	2855	78	13992	7413	754	3814
14562	16053	11676	18322	3333	13926	14215	17259	13343	10475	1786	6742	3726	19012	19432	9966	15680	17647	5233	16399	218	14209	13972
17084	10700	6072	14879	9518	4383	11014	3692	16632	11535	7396	994	11750	8693	10633	19581	19003	17256	2565	19281	18147	3039	9421
12271	17723	7647	2091	1713	19018	5126	2041	18245	5331	14067	12964	17959	3623	2161	4	5158	11680	6819	755	3923	2264	4770
19611	7975	4878	18001	9120	3201	16462	14086	7462	1920	17400	9997	12938	2449	10110	16957	5865	14575	8027	6617	4322	17926	16107
75	15185	12517	8815	7820	17123	2391	3445	13268	19471	11363	2139	9516	16438	15817	5788	955	3660	18887	15505	15109	13378	3824
4220	1705	8379	2466	6649	1146	19617	5990	9272	4353	1551	378	6950	7911	5687	5173	16850	16187	1881	8197	5962	8776	9621
7156	14708	3289	853	10318	15508	9414	14020	4268	6847	12507	5606	11005	15315	1076	258	8064	6320	6752	13731	14359	12594	3775
8086	17657	19223	15310	5121	2773	7856	3336	7854	1606	5301	13403	401	2270	16484	8330	17938	9943	12706	5308	12201	17959	102
13850	723	2561	16730	7104	19247	4441	11676	19188	11332	13947	19390	13862	17659	15224	1596	14283	15208	15663	2904	17298	7640	19156
19108	14518	6858	4532	16830	345	7009	3878	10556	4064	970	8158	5724	11858	19481	7566	3041	18503	14415	18638	17003	19135	735
3477	2561	6203	4808	17867	243	10716	10860	17947	8471	19509	9099	19568	19494	12121	5175	9169	13328	18664	9434	17785	560	13099
9154	17078	3624	261	7064	3753	1006	10657	6140	1985	6366	18947	2094	9682	10007	3138	5044	13147	2337	3190	9766	13775	2147
2841	3348	10995	6892	19363	17785	3170	15499	17825	14309	18696	18237	12684	16113	17430	8012	11946	10613	5001	14586	5695	15070	10627
13608	16889	5296	3160	3341	4605	11068	6434	19083	6748	18390	4365	15097	2582	3445	15577	5601	10211	6883	4550	9699	19626	17597
17239	7974	13457	190	17702	1839	5532	16983	9679	8175	3	11681	7106	6561	15134	8885	19421	14238	14468	8761	19705	7965	17429
9800	7220	11891	4801	527	10654	17375	13318	5982	11665	3593	14419	1534	16762	6297	11082	11662	4317	8681	13464	11880	16810	11939
12463	16349	6327	12977	11092	11862	2797	12512	2936	10682	9396	4305	16914	5720	1985	1554	4462	7196	2121	15574	209	8847	2030
10338	17304	7243	13635	10138	4092	15532	10486	6082	7316	971	8273	1968	11744	5342	18798	4005	9726	1483	171	1349	12636	12299
19266	13598	2083	17144	4002	5819	6462	11735	14409	4221	9999	18093	11381	2595	1585	6630	6327	18447	245	13367	18997	3882	3837
7904	16286	5296	4104	9804	12525	11079	14238	11015	11020	16511	12945	7723	6886	10859	805	18175	2199	11136	14868	2689	1148	5806
3431	16061	6817	12725	4423	17581	336	11779	11959	8353	6720	1864	18213	14545	15883	18893	1544	10187	2723	5645	6464	15716	6353
8104	6622	5330	25	13357	9644	16282	12122	7834	6664	12470	9598	912	17348	7442	18256	8905	16070	8393	19030	8726	12814	4883
11628	15423	3524	5004	18573	7347	15489	13693	9560	15954	6681	2651	17654	17969	8310	15194	11929	18962	14553	16108	4993	12602	15
6971	14715	12301	393	2232	7964	3078	4393	2154	18499	2698	3933	12858	5582	17431	2138	6718	15993	9257	4273	1300	12024	18412
12648	8930	9730	5591	13495	4046	6476	1727	9431	13150	3772	3984	14405	3677	5504	13855	19646	11898	10441	14515	14796	3285	15746
